,acousticness,danceability,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
17,0.0497,0.504,0.00019,11,0.538,5.467,1,0.18,102.162,3,0.292
18,0.334,0.78,0.0,8,0.0459,5.456,0,0.39,125.003,4,0.493
19,0.181,0.702,0.0,1,0.0959,4.131,1,0.204,77.602,4,0.346
20,0.109,0.735,0.0,1,0.343,4.811,1,0.339,77.979,4,0.752
21,0.0687,0.835,0.0,7,0.0994,7.43,1,0.467,79.081,4,0.805
22,0.444,0.69,0.0,10,0.173,6.472,0,0.554,87.591,4,0.337
23,0.239,0.618,0.0,2,0.115,6.731,1,0.421,87.158,4,0.451
24,0.261,0.793,0.0,11,0.643,7.465,0,0.301,123.022,4,0.647
0,0.0123,0.64,0.0,0,0.0818,6.718,1,0.0277,108.017,4,0.24
1,0.0789,0.721,0.0,1,0.0824,4.741,1,0.119,79.943,4,0.552
2,0.303,0.658,0.0,1,0.361,4.407,1,0.058,97.976,4,0.662
3,0.228,0.599,0.0,0,0.554,2.731,1,0.0435,156.016,4,0.931
4,0.0916,0.448,0.905,2,0.138,7.31,1,0.0583,129.971,4,0.0658
5,0.0206,0.74,0.904,2,0.604,6.236,1,0.0395,126.993,4,0.176
6,0.00174,0.556,0.916,2,0.262,6.246,1,0.0435,120.986,4,0.0693
7,0.0128,0.659,0.794,1,0.148,3.071,1,0.0504,128.019,4,0.487
8,0.156,0.828,0.000918,6,0.11,9.789,1,0.0778,124.031,4,0.63
9,0.177,0.723,0.00825,8,0.121,3.586,0,0.123,124.031,4,0.908
10,0.00363,0.764,0.0119,7,0.211,7.844,1,0.0386,121.014,4,0.41
11,0.0308,0.518,0.0,8,0.116,6.327,1,0.0839,121.884,4,0.334
12,0.302,0.759,0.842,0,0.0998,7.85,0,0.0373,128.189,4,0.47
13,0.117,0.817,1.07e-05,6,0.0413,4.744,0,0.117,102.0,4,0.622
14,0.213,0.575,0.0642,6,0.106,8.097,1,0.0735,119.909,4,0.247
15,0.0122,0.621,0.327,6,0.0808,6.232,0,0.0566,126.073,4,0.227
16,0.00301,0.675,0.0413,0,0.126,6.966,0,0.0629,126.023,4,0.271
17,0.00518,0.718,0.477,1,0.114,5.041,1,0.0386,125.004,4,0.354
18,0.0079,0.653,0.0,10,0.318,3.36,1,0.0566,126.047,4,0.0921
19,0.234,0.761,0.237,8,0.0573,5.502,1,0.0505,104.992,4,0.58
20,0.00836,0.572,0.0199,6,0.0961,3.639,0,0.197,154.008,4,0.214
21,0.000408,0.381,0.589,5,0.183,6.9,1,0.0355,127.967,4,0.0378
22,0.00382,0.592,0.0,11,0.298,5.055,0,0.0358,123.958,4,0.577
23,0.0418,0.65,0.00396,1,0.188,2.444,0,0.0439,127.982,4,0.732
24,0.00778,0.898,3.63e-05,11,0.217,2.744,1,0.291,150.016,4,0.884
25,0.265,0.686,0.000186,2,0.415,6.035,1,0.046,121.996,4,0.474
26,0.113,0.647,0.00703,4,0.146,5.874,1,0.0256,124.982,4,0.277
27,0.00393,0.63,0.829,9,0.145,9.675,0,0.0256,127.013,4,0.119
28,0.525,0.735,0.000431,3,0.381,4.797,0,0.0905,99.954,4,0.612
29,0.152,0.677,0.0,5,0.0911,5.763,1,0.0809,99.137,4,0.419
30,0.00271,0.652,9.77e-06,11,0.183,3.837,0,0.0377,124.029,4,0.886
31,0.00347,0.77,0.000519,7,0.188,5.151,1,0.0408,122.008,4,0.522
32,0.00226,0.573,0.000326,8,0.0748,7.119,1,0.0656,123.955,4,0.226
33,0.635,0.699,0.00142,7,0.383,3.413,0,0.0525,129.018,4,0.234
34,0.178,0.376,0.0,7,0.0815,2.951,1,0.046,84.146,4,0.167
35,0.149,0.51,6.46e-05,5,0.116,3.857,0,0.04,127.979,4,0.129
36,0.0448,0.522,0.00488,4,0.307,3.738,0,0.0465,124.968,4,0.308
37,0.0194,0.699,0.000431,7,0.0506,5.601,0,0.125,125.946,4,0.369
38,0.255,0.718,1.88e-05,5,0.208,4.593,0,0.0361,139.99,4,0.356
39,0.0138,0.581,0.0,5,0.525,4.739,0,0.093,179.959,4,0.47
40,0.0152,0.557,0.00156,4,0.108,4.848,0,0.0479,172.048,4,0.359
41,0.354,0.733,0.951,2,0.134,6.291,0,0.0423,125.027,4,0.349
42,0.117,0.668,0.81,7,0.153,4.802,0,0.0397,123.012,4,0.341
43,0.00646,0.617,2.11e-05,10,0.501,2.748,0,0.205,127.986,4,0.293
44,0.435,0.697,0.832,3,0.105,10.216,0,0.0279,125.019,4,0.584
45,0.256,0.52,4.96e-06,4,0.17,3.093,1,0.0853,141.971,4,0.286
46,0.0166,0.527,0.0,11,0.0493,4.102,1,0.0509,96.962,4,0.49
47,0.00179,0.652,0.0,2,0.0404,4.832,1,0.0441,134.009,4,0.279
48,0.0323,0.645,0.0,5,0.29,4.989,0,0.0339,123.07,4,0.534
49,0.00217,0.672,0.000926,11,0.169,5.648,0,0.0322,124.026,4,0.0898
0,9.29e-05,0.804,0.0511,1,0.256,6.155,1,0.0803,129.977,4,0.782
1,0.265,0.686,0.000186,2,0.415,6.035,1,0.046,121.996,4,0.474
2,0.00285,0.722,8.3e-05,9,0.347,3.948,1,0.0443,124.009,4,0.561
3,0.00382,0.592,0.0,11,0.298,5.055,0,0.0358,123.958,4,0.577
4,0.00591,0.711,0.596,9,0.954,6.983,1,0.0413,126.063,4,0.552
5,0.113,0.647,0.00703,4,0.146,5.874,1,0.0256,124.982,4,0.277
6,0.472,0.685,1.67e-06,4,0.0817,4.122,0,0.0452,90.004,4,0.224
7,0.193,0.805,0.00299,9,0.584,7.137,1,0.0451,122.99,4,0.661
8,0.0172,0.594,1.39e-05,7,0.697,5.554,0,0.0406,120.035,4,0.234
9,0.0868,0.808,0.0638,2,0.0613,5.753,0,0.173,123.954,3,0.266
10,0.0274,0.754,0.000238,6,0.286,5.684,0,0.0485,122.998,4,0.352
11,0.0688,0.772,0.000693,6,0.0409,3.944,0,0.0303,122.022,4,0.256
12,0.0561,0.711,0.0246,11,0.278,4.941,0,0.0302,122.026,4,0.268
13,0.00271,0.652,9.77e-06,11,0.183,3.837,0,0.0377,124.029,4,0.886
14,0.0933,0.89,0.047,10,0.112,4.98,0,0.0749,101.978,4,0.26
15,0.407,0.556,5.9e-06,10,0.19,4.905,1,0.135,89.861,4,0.377
16,0.0141,0.783,0.857,7,0.274,5.705,1,0.126,123.07,4,0.413
17,0.0402,0.828,0.00163,10,0.457,5.25,0,0.0515,121.972,4,0.643
18,0.0182,0.858,4.24e-06,0,0.261,4.916,0,0.0541,123.986,4,0.767
19,0.032,0.853,0.777,6,0.0667,7.243,0,0.0492,119.974,4,0.36
20,0.00893,0.666,0.000173,2,0.131,6.46,0,0.0419,124.013,4,0.491
21,0.142,0.814,0.00418,11,0.0586,5.615,0,0.0426,126.003,4,0.615
22,0.00262,0.636,0.0311,11,0.14,5.943,0,0.0543,123.942,4,0.22
23,0.0353,0.709,0.0603,5,0.13,5.783,1,0.0545,124.144,4,0.131
24,0.214,0.681,0.00489,8,0.13,6.079,0,0.0473,130.088,4,0.125
25,0.0166,0.527,0.0,11,0.0493,4.102,1,0.0509,96.962,4,0.49
26,0.668,0.574,0.00279,0,0.137,7.787,1,0.0342,114.997,4,0.485
27,0.0199,0.687,0.00266,3,0.207,5.3,1,0.037,121.029,4,0.632
28,0.0177,0.781,0.000412,8,0.361,4.558,1,0.158,124.015,4,0.145
29,0.0079,0.74,0.0299,2,0.326,6.812,0,0.0359,120.992,4,0.137
30,0.00217,0.672,0.000926,11,0.169,5.648,0,0.0322,124.026,4,0.0898
31,0.19,0.574,0.0,11,0.0767,5.828,0,0.0332,99.93,4,0.305
32,0.00126,0.731,5.98e-05,7,0.396,5.307,1,0.0965,123.024,4,0.436
33,0.508,0.839,0.0186,2,0.122,7.468,0,0.0419,124.013,4,0.46
34,0.131,0.651,0.0,5,0.0901,3.679,1,0.0583,115.059,4,0.326
35,0.392,0.833,0.000758,8,0.0809,5.496,0,0.034,121.999,4,0.888
36,0.00497,0.802,0.00222,0,0.264,6.553,0,0.0441,122.0,4,0.265
37,0.101,0.575,0.00799,9,0.123,7.103,1,0.0341,104.982,4,0.0375
38,0.00765,0.796,0.000393,2,0.0691,5.744,1,0.171,125.98,4,0.508
39,0.0432,0.746,0.0,9,0.12,5.57,0,0.0957,123.938,4,0.641
40,0.00267,0.691,2.65e-05,0,0.0757,4.675,1,0.0371,124.024,3,0.421
41,0.047,0.691,0.902,10,0.0744,7.538,0,0.047,119.999,4,0.0551
42,0.141,0.764,0.00379,5,0.121,7.629,0,0.0881,125.994,4,0.323
43,0.033,0.602,9.27e-06,9,0.102,5.194,1,0.0667,160.098,4,0.331
44,0.00664,0.666,0.0,7,0.0741,3.972,1,0.0363,118.031,4,0.633
45,0.156,0.789,0.000744,9,0.0854,6.278,0,0.0352,124.009,4,0.569
46,0.156,0.508,5.32e-05,0,0.764,3.704,0,0.0565,135.449,4,0.3
47,0.00607,0.677,0.00105,2,0.564,7.633,1,0.04,122.003,4,0.353
48,0.00756,0.912,0.0148,2,0.0792,5.005,1,0.0672,123.033,4,0.29
49,0.00933,0.806,0.0276,2,0.232,5.351,1,0.0442,122.036,4,0.514
0,0.101,0.53,4.04e-06,5,0.112,5.178,0,0.0652,180.153,4,0.398
1,0.424,0.618,0.00796,0,0.332,4.731,1,0.0463,101.022,4,0.335
2,0.258,0.639,6.44e-06,1,0.202,5.924,0,0.173,120.97,4,0.301
3,0.107,0.475,0.0,1,0.554,5.29,1,0.0501,128.01,4,0.242
4,0.00875,0.588,0.00117,11,0.337,4.13,0,0.0481,126.013,4,0.27
5,0.00301,0.675,0.0413,0,0.126,6.966,0,0.0629,126.023,4,0.271
6,0.00564,0.907,0.00247,7,0.3,3.517,1,0.268,120.021,4,0.803
7,0.166,0.58,0.0,10,0.217,4.281,1,0.474,58.526,4,0.831
8,0.107,0.69,0.000622,1,0.141,3.856,1,0.0747,130.994,4,0.294
9,0.0302,0.464,3.37e-05,2,0.0876,4.37,1,0.0694,186.1,4,0.281
10,0.0024,0.54,0.954,2,0.371,6.784,1,0.0364,123.988,4,0.238
11,0.112,0.458,0.0167,11,0.066,6.003,0,0.0481,121.09,4,0.247
12,0.00174,0.556,0.916,2,0.262,6.246,1,0.0435,120.986,4,0.0693
13,0.179,0.515,0.668,7,0.494,7.896,0,0.0328,120.024,4,0.0756
14,0.00363,0.764,0.0119,7,0.211,7.844,1,0.0386,121.014,4,0.41
15,0.0308,0.518,0.0,8,0.116,6.327,1,0.0839,121.884,4,0.334
16,0.00518,0.718,0.477,1,0.114,5.041,1,0.0386,125.004,4,0.354
17,0.0731,0.772,0.000108,3,0.113,7.552,1,0.0596,119.965,4,0.179
18,0.135,0.814,0.000327,4,0.101,3.819,1,0.131,124.01,4,0.501
19,0.00943,0.809,0.000121,1,0.096,2.818,1,0.329,128.037,4,0.443
20,0.12,0.694,0.00258,0,0.215,7.297,0,0.0322,105.968,4,0.451
21,0.229,0.596,0.0,2,0.236,4.705,1,0.042,104.921,4,0.369
