,0,song_title,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
20,"{'danceability': 0.393, 'energy': 0.895, 'key': 4, 'loudness': -3.24, 'mode': 1, 'speechiness': 0.138, 'acousticness': 0.41, 'instrumentalness': 3.48e-05, 'liveness': 0.17, 'valence': 0.334, 'tempo': 139.107, 'type': 'audio_features', 'id': '70xm1SW7jA16I6o3S0laIh', 'uri': 'spotify:track:70xm1SW7jA16I6o3S0laIh', 'track_href': 'https://api.spotify.com/v1/tracks/70xm1SW7jA16I6o3S0laIh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/70xm1SW7jA16I6o3S0laIh', 'duration_ms': 225080, 'time_signature': 4}",Entitlement Crew,The Hold Steady,,,,,,,,,,,,,,,,,,
21,"{'danceability': 0.358, 'energy': 0.767, 'key': 5, 'loudness': -4.261, 'mode': 1, 'speechiness': 0.0578, 'acousticness': 0.293, 'instrumentalness': 0, 'liveness': 0.103, 'valence': 0.549, 'tempo': 110.491, 'type': 'audio_features', 'id': '3Cdbz6DrHxOmRLlK6nGDTu', 'uri': 'spotify:track:3Cdbz6DrHxOmRLlK6nGDTu', 'track_href': 'https://api.spotify.com/v1/tracks/3Cdbz6DrHxOmRLlK6nGDTu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Cdbz6DrHxOmRLlK6nGDTu', 'duration_ms': 225173, 'time_signature': 4}",Passiona,The Smith Street Band,,,,,,,,,,,,,,,,,,
22,"{'danceability': 0.499, 'energy': 0.803, 'key': 1, 'loudness': -4.396, 'mode': 1, 'speechiness': 0.0446, 'acousticness': 0.0054, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.37, 'tempo': 144.887, 'type': 'audio_features', 'id': '1eg80ts9cVAhMcO2EDMytW', 'uri': 'spotify:track:1eg80ts9cVAhMcO2EDMytW', 'track_href': 'https://api.spotify.com/v1/tracks/1eg80ts9cVAhMcO2EDMytW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1eg80ts9cVAhMcO2EDMytW', 'duration_ms': 198795, 'time_signature': 3}",Caution,Tiny Moving Parts,,,,,,,,,,,,,,,,,,
23,"{'danceability': 0.357, 'energy': 0.963, 'key': 2, 'loudness': -6.974, 'mode': 1, 'speechiness': 0.0495, 'acousticness': 1.68e-06, 'instrumentalness': 0.99, 'liveness': 0.596, 'valence': 0.294, 'tempo': 92.508, 'type': 'audio_features', 'id': '6AjBa3F8Qe6dSPSxtXOMfC', 'uri': 'spotify:track:6AjBa3F8Qe6dSPSxtXOMfC', 'track_href': 'https://api.spotify.com/v1/tracks/6AjBa3F8Qe6dSPSxtXOMfC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6AjBa3F8Qe6dSPSxtXOMfC', 'duration_ms': 164719, 'time_signature': 4}",Walker Texas Danger,Bokassa,,,,,,,,,,,,,,,,,,
24,"{'danceability': 0.495, 'energy': 0.805, 'key': 11, 'loudness': -9.729, 'mode': 0, 'speechiness': 0.0368, 'acousticness': 0.0052, 'instrumentalness': 0.74, 'liveness': 0.348, 'valence': 0.287, 'tempo': 123.946, 'type': 'audio_features', 'id': '7cf0vwC9pnF5e0tebdUDa2', 'uri': 'spotify:track:7cf0vwC9pnF5e0tebdUDa2', 'track_href': 'https://api.spotify.com/v1/tracks/7cf0vwC9pnF5e0tebdUDa2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7cf0vwC9pnF5e0tebdUDa2', 'duration_ms': 192807, 'time_signature': 4}",Porcelain,Hundredth,,,,,,,,,,,,,,,,,,
25,"{'danceability': 0.67, 'energy': 0.559, 'key': 9, 'loudness': -8.491, 'mode': 1, 'speechiness': 0.0353, 'acousticness': 0.16, 'instrumentalness': 5.6e-06, 'liveness': 0.312, 'valence': 0.663, 'tempo': 123.926, 'type': 'audio_features', 'id': '78mXWgI8SwmFJT4Thon5Or', 'uri': 'spotify:track:78mXWgI8SwmFJT4Thon5Or', 'track_href': 'https://api.spotify.com/v1/tracks/78mXWgI8SwmFJT4Thon5Or', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/78mXWgI8SwmFJT4Thon5Or', 'duration_ms': 226089, 'time_signature': 4}",There She Is,Frank Turner,,,,,,,,,,,,,,,,,,
26,"{'danceability': 0.247, 'energy': 0.927, 'key': 3, 'loudness': -6.211, 'mode': 1, 'speechiness': 0.0583, 'acousticness': 4.87e-05, 'instrumentalness': 0.000563, 'liveness': 0.0847, 'valence': 0.145, 'tempo': 88.501, 'type': 'audio_features', 'id': '2q793NzfSsZHS2frCG3GZ5', 'uri': 'spotify:track:2q793NzfSsZHS2frCG3GZ5', 'track_href': 'https://api.spotify.com/v1/tracks/2q793NzfSsZHS2frCG3GZ5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2q793NzfSsZHS2frCG3GZ5', 'duration_ms': 227573, 'time_signature': 4}",Sobriety,Ducking Punches,,,,,,,,,,,,,,,,,,
27,"{'danceability': 0.476, 'energy': 0.972, 'key': 11, 'loudness': -3.336, 'mode': 1, 'speechiness': 0.156, 'acousticness': 0.000116, 'instrumentalness': 0, 'liveness': 0.34, 'valence': 0.378, 'tempo': 110.076, 'type': 'audio_features', 'id': '6eXY237nwwPcg9ffxRX5Eb', 'uri': 'spotify:track:6eXY237nwwPcg9ffxRX5Eb', 'track_href': 'https://api.spotify.com/v1/tracks/6eXY237nwwPcg9ffxRX5Eb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6eXY237nwwPcg9ffxRX5Eb', 'duration_ms': 207273, 'time_signature': 4}",No Good for Me,Boys of Fall,,,,,,,,,,,,,,,,,,
28,"{'danceability': 0.13, 'energy': 0.971, 'key': 2, 'loudness': -2.992, 'mode': 1, 'speechiness': 0.343, 'acousticness': 0.0009, 'instrumentalness': 0, 'liveness': 0.0992, 'valence': 0.15, 'tempo': 195.866, 'type': 'audio_features', 'id': '4urgPJPoofZTrn0PVvS8Zm', 'uri': 'spotify:track:4urgPJPoofZTrn0PVvS8Zm', 'track_href': 'https://api.spotify.com/v1/tracks/4urgPJPoofZTrn0PVvS8Zm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4urgPJPoofZTrn0PVvS8Zm', 'duration_ms': 177986, 'time_signature': 4}",As a Spy,Forty Seven Teeth,,,,,,,,,,,,,,,,,,
29,"{'danceability': 0.38, 'energy': 0.954, 'key': 5, 'loudness': -2.05, 'mode': 0, 'speechiness': 0.0642, 'acousticness': 0.000621, 'instrumentalness': 0.0887, 'liveness': 0.283, 'valence': 0.397, 'tempo': 131.018, 'type': 'audio_features', 'id': '6C9Hr4idQc3VsX6yCmyVgH', 'uri': 'spotify:track:6C9Hr4idQc3VsX6yCmyVgH', 'track_href': 'https://api.spotify.com/v1/tracks/6C9Hr4idQc3VsX6yCmyVgH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6C9Hr4idQc3VsX6yCmyVgH', 'duration_ms': 155528, 'time_signature': 4}",Sarcophaguts,Slow Bloom,,,,,,,,,,,,,,,,,,
