,Unnamed: 0,Unnamed: 0.1,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,funk,eletronica,rap,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
566,566,76,0.00306,https://api.spotify.com/v1/audio-analysis/1FypY1QUzlLK2UmU0tSjdY,0.59,236000,0.748,1FypY1QUzlLK2UmU0tSjdY,2.15e-05,0,0.11,-5.379,1,0.0375,95.989,4,https://api.spotify.com/v1/tracks/1FypY1QUzlLK2UmU0tSjdY,audio_features,spotify:track:1FypY1QUzlLK2UmU0tSjdY,0.476,West Coast,Junior Empire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,567,77,6.73e-05,https://api.spotify.com/v1/audio-analysis/3s1wCVuyXaYagQy1UcFBaw,0.313,186360,0.96,3s1wCVuyXaYagQy1UcFBaw,0.0245,11,0.409,-4.846,0,0.271,147.961,4,https://api.spotify.com/v1/tracks/3s1wCVuyXaYagQy1UcFBaw,audio_features,spotify:track:3s1wCVuyXaYagQy1UcFBaw,0.385,Safe Haven,Greywind,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,568,78,0.00032,https://api.spotify.com/v1/audio-analysis/3nZqrK7QFftU8Kjnr0qjWN,0.516,177653,0.8420000000000001,3nZqrK7QFftU8Kjnr0qjWN,0.0,4,0.126,-4.22,1,0.0972,139.923,4,https://api.spotify.com/v1/tracks/3nZqrK7QFftU8Kjnr0qjWN,audio_features,spotify:track:3nZqrK7QFftU8Kjnr0qjWN,0.39,Bonfire,The Hunna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,569,79,0.000686,https://api.spotify.com/v1/audio-analysis/7CfEtEPdd2cZm3BCpWULJZ,0.624,187813,0.614,7CfEtEPdd2cZm3BCpWULJZ,0.0,5,0.0865,-4.824,1,0.0292,124.952,4,https://api.spotify.com/v1/tracks/7CfEtEPdd2cZm3BCpWULJZ,audio_features,spotify:track:7CfEtEPdd2cZm3BCpWULJZ,0.442,Bitter Salt,Jake Bugg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,570,80,2.69e-05,https://api.spotify.com/v1/audio-analysis/7eG2uLxVcqKvkOTVlResDT,0.481,184009,0.919,7eG2uLxVcqKvkOTVlResDT,0.000231,5,0.0818,-4.145,0,0.0951,165.981,4,https://api.spotify.com/v1/tracks/7eG2uLxVcqKvkOTVlResDT,audio_features,spotify:track:7eG2uLxVcqKvkOTVlResDT,0.785,Bulletproof,Young Guns,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,571,81,0.000499,https://api.spotify.com/v1/audio-analysis/3CixrBde5vWFTAXXNMwceD,0.387,196403,0.972,3CixrBde5vWFTAXXNMwceD,0.359,10,0.201,-4.41,0,0.0475,170.02900000000002,4,https://api.spotify.com/v1/tracks/3CixrBde5vWFTAXXNMwceD,audio_features,spotify:track:3CixrBde5vWFTAXXNMwceD,0.8340000000000001,Who Are You?,Spring King,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,572,82,0.0326,https://api.spotify.com/v1/audio-analysis/4nA5tqss7agxUk3o1IgrnM,0.405,300732,0.6709999999999999,4nA5tqss7agxUk3o1IgrnM,0.00572,7,0.151,-8.262,1,0.0267,132.96200000000002,4,https://api.spotify.com/v1/tracks/4nA5tqss7agxUk3o1IgrnM,audio_features,spotify:track:4nA5tqss7agxUk3o1IgrnM,0.425,"My Friend, the Ghost",Grieving,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,573,83,5.11e-06,https://api.spotify.com/v1/audio-analysis/6CCLJ76iRqM0ERHv15ntjX,0.225,252253,0.816,6CCLJ76iRqM0ERHv15ntjX,0.584,0,0.127,-3.495,0,0.0396,77.289,4,https://api.spotify.com/v1/tracks/6CCLJ76iRqM0ERHv15ntjX,audio_features,spotify:track:6CCLJ76iRqM0ERHv15ntjX,0.303,Black Mire,Lonely The Brave,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,574,84,4.49e-05,https://api.spotify.com/v1/audio-analysis/3NS21eAHLLPyfm1NffjnFc,0.493,208160,0.952,3NS21eAHLLPyfm1NffjnFc,0.0,2,0.101,-5.138,1,0.0812,143.041,4,https://api.spotify.com/v1/tracks/3NS21eAHLLPyfm1NffjnFc,audio_features,spotify:track:3NS21eAHLLPyfm1NffjnFc,0.375,Honey,Moose Blood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,575,85,0.0185,https://api.spotify.com/v1/audio-analysis/7HA2kKCeOCIup1LjzZ4IJ8,0.419,155193,0.6970000000000001,7HA2kKCeOCIup1LjzZ4IJ8,4.1e-06,9,0.205,-7.621,0,0.0672,89.925,4,https://api.spotify.com/v1/tracks/7HA2kKCeOCIup1LjzZ4IJ8,audio_features,spotify:track:7HA2kKCeOCIup1LjzZ4IJ8,0.615,Attitude,WEIRDO + CO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
