,Unnamed: 0,Unnamed: 0.1,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,rap,eletronica,funk,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
24,24,24,0.0123,https://api.spotify.com/v1/audio-analysis/1amdyxHN8pMaSafNSzcdKE,0.769,202905,0.897,1amdyxHN8pMaSafNSzcdKE,0.0965,4,0.0723,-4.185,0,0.199,96.973,4,https://api.spotify.com/v1/tracks/1amdyxHN8pMaSafNSzcdKE,audio_features,spotify:track:1amdyxHN8pMaSafNSzcdKE,0.179,Love Distance,Teams,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,25,25,0.00109,https://api.spotify.com/v1/audio-analysis/5fgZv37iE8pDNOcmQRvhFL,0.7020000000000001,326374,0.852,5fgZv37iE8pDNOcmQRvhFL,0.893,6,0.102,-6.3370000000000015,1,0.101,97.085,4,https://api.spotify.com/v1/tracks/5fgZv37iE8pDNOcmQRvhFL,audio_features,spotify:track:5fgZv37iE8pDNOcmQRvhFL,0.519,Stunts,Teams,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,26,26,0.0049700000000000005,https://api.spotify.com/v1/audio-analysis/69zaxQuSW2n5ZpMLp7Mvbl,0.831,236382,0.872,69zaxQuSW2n5ZpMLp7Mvbl,0.927,11,0.24,-2.799,0,0.117,129.97899999999998,4,https://api.spotify.com/v1/tracks/69zaxQuSW2n5ZpMLp7Mvbl,audio_features,spotify:track:69zaxQuSW2n5ZpMLp7Mvbl,0.329,Based Love,Teams,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,27,27,5.02e-05,https://api.spotify.com/v1/audio-analysis/0CcXpIGyLe2lEXN21rhSXm,0.4920000000000001,129600,0.731,0CcXpIGyLe2lEXN21rhSXm,0.828,0,0.116,-10.259,1,0.0322,73.999,4,https://api.spotify.com/v1/tracks/0CcXpIGyLe2lEXN21rhSXm,audio_features,spotify:track:0CcXpIGyLe2lEXN21rhSXm,0.441,The Skyline Flowers,Capo Blanco,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,28,28,0.189,https://api.spotify.com/v1/audio-analysis/07iwaBDYV4SSMUY3Q81RVq,0.334,372637,0.6970000000000001,07iwaBDYV4SSMUY3Q81RVq,0.0699,9,0.318,-9.586,1,0.07200000000000001,90.0,4,https://api.spotify.com/v1/tracks/07iwaBDYV4SSMUY3Q81RVq,audio_features,spotify:track:07iwaBDYV4SSMUY3Q81RVq,0.328,"I Know I'm Falling, But I'm Still Here",Navigateur,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,29,29,0.00555,https://api.spotify.com/v1/audio-analysis/2bEv9gQP8C5rahpptvSt0F,0.415,205976,0.489,2bEv9gQP8C5rahpptvSt0F,0.00191,1,0.328,-8.426,1,0.0386,97.999,4,https://api.spotify.com/v1/tracks/2bEv9gQP8C5rahpptvSt0F,audio_features,spotify:track:2bEv9gQP8C5rahpptvSt0F,0.0608,High School,Navigateur,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,30,30,0.0106,https://api.spotify.com/v1/audio-analysis/7AtoW1bWe8NrfmzVXm15qY,0.531,219089,0.507,7AtoW1bWe8NrfmzVXm15qY,0.467,1,0.563,-11.182,1,0.0501,115.057,4,https://api.spotify.com/v1/tracks/7AtoW1bWe8NrfmzVXm15qY,audio_features,spotify:track:7AtoW1bWe8NrfmzVXm15qY,0.317,Nobody Knows,Navigateur,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,31,31,0.0217,https://api.spotify.com/v1/audio-analysis/2WCveeofd0kR3foemnS2OK,0.556,221512,0.989,2WCveeofd0kR3foemnS2OK,0.833,2,0.335,-1.538,1,0.0466,91.065,4,https://api.spotify.com/v1/tracks/2WCveeofd0kR3foemnS2OK,audio_features,spotify:track:2WCveeofd0kR3foemnS2OK,0.0605,Stadium (Ignition),Teamm Jordann,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,32,32,0.0295,https://api.spotify.com/v1/audio-analysis/6dejyQJQd7681mmktU7lu1,0.153,174976,0.847,6dejyQJQd7681mmktU7lu1,0.616,8,0.436,-14.897,1,0.151,76.906,4,https://api.spotify.com/v1/tracks/6dejyQJQd7681mmktU7lu1,audio_features,spotify:track:6dejyQJQd7681mmktU7lu1,0.0377,I Need a Moment,Teamm Jordann,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,33,33,0.006659999999999999,https://api.spotify.com/v1/audio-analysis/6qhwfTLeuGIFG279xLBBU9,0.552,191990,0.903,6qhwfTLeuGIFG279xLBBU9,0.6509999999999999,5,0.332,-7.565,0,0.08,159.889,4,https://api.spotify.com/v1/tracks/6qhwfTLeuGIFG279xLBBU9,audio_features,spotify:track:6qhwfTLeuGIFG279xLBBU9,0.301,"Ass Clap Therapy (20,000 Hits)",Teamm Jordann,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,34,34,0.0745,https://api.spotify.com/v1/audio-analysis/2dJWC1hsGkjZr0Cajm1Cnm,0.369,166658,0.975,2dJWC1hsGkjZr0Cajm1Cnm,0.899,0,0.451,-7.822,1,0.116,121.521,4,https://api.spotify.com/v1/tracks/2dJWC1hsGkjZr0Cajm1Cnm,audio_features,spotify:track:2dJWC1hsGkjZr0Cajm1Cnm,0.046,Hall of Fame,Teamm Jordann,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,35,35,0.0302,https://api.spotify.com/v1/audio-analysis/6TcMhJGy8GZ3Eb2ILjKc6F,0.823,199360,0.499,6TcMhJGy8GZ3Eb2ILjKc6F,0.284,1,0.0509,-9.899,0,0.0683,128.986,4,https://api.spotify.com/v1/tracks/6TcMhJGy8GZ3Eb2ILjKc6F,audio_features,spotify:track:6TcMhJGy8GZ3Eb2ILjKc6F,0.841,False Memories - EP,Napolian,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,36,36,0.168,https://api.spotify.com/v1/audio-analysis/2Mbk8JrX3cgZVpWbGg1giK,0.743,223480,0.556,2Mbk8JrX3cgZVpWbGg1giK,0.55,9,0.153,-10.467,0,0.0921,140.06,3,https://api.spotify.com/v1/tracks/2Mbk8JrX3cgZVpWbGg1giK,audio_features,spotify:track:2Mbk8JrX3cgZVpWbGg1giK,0.138,Banquet - EP,Napolian,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,37,37,0.162,https://api.spotify.com/v1/audio-analysis/3JsBJy4aIjAJ3GSjMQ4yaB,0.569,233861,0.87,3JsBJy4aIjAJ3GSjMQ4yaB,0.8809999999999999,0,0.128,-11.249,1,0.0865,139.918,4,https://api.spotify.com/v1/tracks/3JsBJy4aIjAJ3GSjMQ4yaB,audio_features,spotify:track:3JsBJy4aIjAJ3GSjMQ4yaB,0.225,My Refuge - EP,Napolian,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,38,38,0.496,https://api.spotify.com/v1/audio-analysis/4DYkqPH6Hc4I7m53fwy2Ra,0.669,220880,0.748,4DYkqPH6Hc4I7m53fwy2Ra,0.818,6,0.7240000000000001,-12.183,1,0.35200000000000004,150.084,4,https://api.spotify.com/v1/tracks/4DYkqPH6Hc4I7m53fwy2Ra,audio_features,spotify:track:4DYkqPH6Hc4I7m53fwy2Ra,0.339,Rejoice - EP,Napolian,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,39,39,0.0855,https://api.spotify.com/v1/audio-analysis/1WEPqynCKWE1BPoxWBWZfN,0.585,181803,0.8590000000000001,1WEPqynCKWE1BPoxWBWZfN,0.59,2,0.0768,-8.163,0,0.152,90.486,4,https://api.spotify.com/v1/tracks/1WEPqynCKWE1BPoxWBWZfN,audio_features,spotify:track:1WEPqynCKWE1BPoxWBWZfN,0.7909999999999999,In The Zone,Airbird & Napolian,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,40,40,0.0986,https://api.spotify.com/v1/audio-analysis/5VHFV5JrXJcImVh7bvm67g,0.86,221057,0.715,5VHFV5JrXJcImVh7bvm67g,0.0863,10,0.482,-10.093,0,0.281,126.005,4,https://api.spotify.com/v1/tracks/5VHFV5JrXJcImVh7bvm67g,audio_features,spotify:track:5VHFV5JrXJcImVh7bvm67g,0.627,Special,Airbird & Napolian,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,41,41,0.0732,https://api.spotify.com/v1/audio-analysis/1SOxGmojgZbDlfDU7M4sJv,0.6709999999999999,260377,0.934,1SOxGmojgZbDlfDU7M4sJv,0.0,5,0.234,-4.18,0,0.428,105.99,4,https://api.spotify.com/v1/tracks/1SOxGmojgZbDlfDU7M4sJv,audio_features,spotify:track:1SOxGmojgZbDlfDU7M4sJv,0.637,Loving Free (Saint Pepsi Remix),Spazzkid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,42,42,0.0505,https://api.spotify.com/v1/audio-analysis/4MrLK5ZuFfyqjH1HZPkXvH,0.645,191804,0.5720000000000001,4MrLK5ZuFfyqjH1HZPkXvH,0.831,1,0.0828,-10.063,0,0.0494,89.999,4,https://api.spotify.com/v1/tracks/4MrLK5ZuFfyqjH1HZPkXvH,audio_features,spotify:track:4MrLK5ZuFfyqjH1HZPkXvH,0.397,Don't Kiss Me While I'm Swimming,Phil Gerus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,43,43,0.00217,https://api.spotify.com/v1/audio-analysis/0H36B3zYP0p5JDrQWkgpby,0.7390000000000001,148765,0.4,0H36B3zYP0p5JDrQWkgpby,0.723,1,0.123,-9.858,1,0.0447,97.023,4,https://api.spotify.com/v1/tracks/0H36B3zYP0p5JDrQWkgpby,audio_features,spotify:track:0H36B3zYP0p5JDrQWkgpby,0.232,Finding Nash,Phil Gerus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,44,44,0.174,https://api.spotify.com/v1/audio-analysis/6UjDckaxVote8QhMXosgNy,0.662,146051,0.561,6UjDckaxVote8QhMXosgNy,0.5379999999999999,1,0.215,-10.327,1,0.0517,170.502,4,https://api.spotify.com/v1/tracks/6UjDckaxVote8QhMXosgNy,audio_features,spotify:track:6UjDckaxVote8QhMXosgNy,0.908,Lust Escort,Phil Gerus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,45,45,0.157,https://api.spotify.com/v1/audio-analysis/0CD0nIlXaUGtlspTQgKDRw,0.753,157193,0.552,0CD0nIlXaUGtlspTQgKDRw,0.209,1,0.414,-9.551,1,0.282,98.601,4,https://api.spotify.com/v1/tracks/0CD0nIlXaUGtlspTQgKDRw,audio_features,spotify:track:0CD0nIlXaUGtlspTQgKDRw,0.5579999999999999,Surfing The Wave,Phil Gerus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,46,46,0.107,https://api.spotify.com/v1/audio-analysis/6DgLkc9U0aGbAT3LTfikJd,0.782,118608,0.6729999999999999,6DgLkc9U0aGbAT3LTfikJd,0.2,5,0.264,-7.499,0,0.0261,80.69,4,https://api.spotify.com/v1/tracks/6DgLkc9U0aGbAT3LTfikJd,audio_features,spotify:track:6DgLkc9U0aGbAT3LTfikJd,0.777,Vieux Caree,Phil Gerus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,47,47,0.522,https://api.spotify.com/v1/audio-analysis/5CDVcJxZfBC2pFDCNBt8dJ,0.574,151000,0.654,5CDVcJxZfBC2pFDCNBt8dJ,0.973,9,0.345,-13.152,0,0.0357,119.981,4,https://api.spotify.com/v1/tracks/5CDVcJxZfBC2pFDCNBt8dJ,audio_features,spotify:track:5CDVcJxZfBC2pFDCNBt8dJ,0.51,Summer Salt,Free Weed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,48,48,0.0781,https://api.spotify.com/v1/audio-analysis/0M6d9a95pZKwRafMbv12W5,0.679,120270,0.616,0M6d9a95pZKwRafMbv12W5,0.413,1,0.0728,-7.855,1,0.0949,176.713,3,https://api.spotify.com/v1/tracks/0M6d9a95pZKwRafMbv12W5,audio_features,spotify:track:0M6d9a95pZKwRafMbv12W5,0.964,Temptation,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,49,49,1.6100000000000002e-05,https://api.spotify.com/v1/audio-analysis/5vVOSgxbNF7FFcLn8wDMo1,0.404,141921,0.741,5vVOSgxbNF7FFcLn8wDMo1,0.936,5,0.682,-10.248,0,0.0267,164.747,4,https://api.spotify.com/v1/tracks/5vVOSgxbNF7FFcLn8wDMo1,audio_features,spotify:track:5vVOSgxbNF7FFcLn8wDMo1,0.732,Self-Discovery,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,50,50,0.0517,https://api.spotify.com/v1/audio-analysis/2bMxRECKQGtweVQDtDUSWY,0.79,115267,0.7559999999999999,2bMxRECKQGtweVQDtDUSWY,0.8190000000000001,10,0.0951,-9.949,0,0.102,82.818,4,https://api.spotify.com/v1/tracks/2bMxRECKQGtweVQDtDUSWY,audio_features,spotify:track:2bMxRECKQGtweVQDtDUSWY,0.94,Vanity,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,51,51,0.048,https://api.spotify.com/v1/audio-analysis/5k6eVe10TeXP3yURiFkN8G,0.6990000000000001,139991,0.455,5k6eVe10TeXP3yURiFkN8G,0.904,7,0.123,-10.182,0,0.0484,164.739,4,https://api.spotify.com/v1/tracks/5k6eVe10TeXP3yURiFkN8G,audio_features,spotify:track:5k6eVe10TeXP3yURiFkN8G,0.5720000000000001,Limousine,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,52,52,0.0195,https://api.spotify.com/v1/audio-analysis/0pTJDdvw1NsPGy44uRxMCr,0.911,119128,0.545,0pTJDdvw1NsPGy44uRxMCr,0.8109999999999999,1,0.124,-10.108,1,0.0775,136.907,1,https://api.spotify.com/v1/tracks/0pTJDdvw1NsPGy44uRxMCr,audio_features,spotify:track:0pTJDdvw1NsPGy44uRxMCr,0.871,Classy,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,53,53,0.149,https://api.spotify.com/v1/audio-analysis/0CMajrnQq6lvUszgj0lIbl,0.662,88520,0.541,0CMajrnQq6lvUszgj0lIbl,0.312,4,0.259,-9.668,0,0.0294,130.847,4,https://api.spotify.com/v1/tracks/0CMajrnQq6lvUszgj0lIbl,audio_features,spotify:track:0CMajrnQq6lvUszgj0lIbl,0.8809999999999999,Liquid,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,54,54,1.04e-05,https://api.spotify.com/v1/audio-analysis/5DoGmC66uLfeVj04bL6x7n,0.453,127746,0.696,5DoGmC66uLfeVj04bL6x7n,0.972,2,0.409,-13.314,1,0.0349,180.253,4,https://api.spotify.com/v1/tracks/5DoGmC66uLfeVj04bL6x7n,audio_features,spotify:track:5DoGmC66uLfeVj04bL6x7n,0.194,Speedboat,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,55,55,0.527,https://api.spotify.com/v1/audio-analysis/1bv6Zzr5RrMC3E7TdmCNd2,0.698,170621,0.403,1bv6Zzr5RrMC3E7TdmCNd2,0.81,4,0.114,-16.314,1,0.0424,129.19,4,https://api.spotify.com/v1/tracks/1bv6Zzr5RrMC3E7TdmCNd2,audio_features,spotify:track:1bv6Zzr5RrMC3E7TdmCNd2,0.514,Up Next,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
