,0,Unnamed: 0,acousticness,analysis_url,artist,danceability,duration_ms,eletronica,energy,funk,id,instrumentalness,key,liveness,loudness,metal,mode,rap,rock,sertanejo,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
3,,3,0.354,https://api.spotify.com/v1/audio-analysis/7yYOMPwpV5CsK0cxoAZT6B,MC Kevinho,0.674,169351.0,0.0,0.789,1.0,7yYOMPwpV5CsK0cxoAZT6B,0.0,7.0,0.115,-4.63,0.0,1.0,0.0,0.0,0.0,Encaixa,0.287,163.896,4.0,https://api.spotify.com/v1/tracks/7yYOMPwpV5CsK0cxoAZT6B,audio_features,spotify:track:7yYOMPwpV5CsK0cxoAZT6B,0.8740000000000001
4,,4,0.812,https://api.spotify.com/v1/audio-analysis/7vgNGxchhqDQWjKjLPTPro,MC Gustta,0.685,215938.0,0.0,0.648,1.0,7vgNGxchhqDQWjKjLPTPro,0.0019,11.0,0.21,-3.536,0.0,0.0,0.0,0.0,0.0,Abusadamente,0.149,122.59899999999999,4.0,https://api.spotify.com/v1/tracks/7vgNGxchhqDQWjKjLPTPro,audio_features,spotify:track:7vgNGxchhqDQWjKjLPTPro,0.389
5,,5,0.0711,https://api.spotify.com/v1/audio-analysis/4BjPsq3MXBNo4Qxg40igEr,MC G15,0.599,232727.0,0.0,0.512,1.0,4BjPsq3MXBNo4Qxg40igEr,0.0,4.0,0.0816,-2.5780000000000003,0.0,1.0,0.0,0.0,0.0,Cara Bacana,0.0641,87.838,5.0,https://api.spotify.com/v1/tracks/4BjPsq3MXBNo4Qxg40igEr,audio_features,spotify:track:4BjPsq3MXBNo4Qxg40igEr,0.725
6,,6,0.126,https://api.spotify.com/v1/audio-analysis/6ZR7rT7vfwtY0EqyLeyAaO,Mc Gw,0.687,190354.0,0.0,0.872,1.0,6ZR7rT7vfwtY0EqyLeyAaO,0.00839,10.0,0.0906,-3.013,0.0,0.0,0.0,0.0,0.0,Ritmo Mexicano,0.0983,179.99099999999999,4.0,https://api.spotify.com/v1/tracks/6ZR7rT7vfwtY0EqyLeyAaO,audio_features,spotify:track:6ZR7rT7vfwtY0EqyLeyAaO,0.706
0,,0,0.255,https://api.spotify.com/v1/audio-analysis/6gquljDBW7rE6mCBzmTRxo,Henrique & Diego,0.598,192947.0,0.0,0.885,0.0,6gquljDBW7rE6mCBzmTRxo,0.0,7.0,0.965,-3.383,0.0,1.0,0.0,0.0,1.0,Raspão - Ao Vivo,0.0509,113.919,4.0,https://api.spotify.com/v1/tracks/6gquljDBW7rE6mCBzmTRxo,audio_features,spotify:track:6gquljDBW7rE6mCBzmTRxo,0.648
1,,1,0.505,https://api.spotify.com/v1/audio-analysis/7oL5604ifW7DAmLVf8XYDt,Fernando & Sorocaba,0.698,180000.0,0.0,0.897,0.0,7oL5604ifW7DAmLVf8XYDt,0.0,0.0,0.265,-4.178999999999999,0.0,1.0,0.0,0.0,1.0,Terapinga - Ao Vivo,0.0555,119.979,4.0,https://api.spotify.com/v1/tracks/7oL5604ifW7DAmLVf8XYDt,audio_features,spotify:track:7oL5604ifW7DAmLVf8XYDt,0.857
2,,2,0.198,https://api.spotify.com/v1/audio-analysis/6X5jBkAFu7HE3jigdoVW3r,Solange Almeida,0.7170000000000001,176236.0,0.0,0.8590000000000001,0.0,6X5jBkAFu7HE3jigdoVW3r,0.0,0.0,0.13,-3.4019999999999997,0.0,1.0,0.0,0.0,1.0,Se é pra Gente Ficar,0.0344,118.97,4.0,https://api.spotify.com/v1/tracks/6X5jBkAFu7HE3jigdoVW3r,audio_features,spotify:track:6X5jBkAFu7HE3jigdoVW3r,0.703
3,,3,0.581,https://api.spotify.com/v1/audio-analysis/0pqyzGaS6qpdHs3bzjVYzb,Diego & Victor Hugo,0.647,181736.0,0.0,0.873,0.0,0pqyzGaS6qpdHs3bzjVYzb,0.0,4.0,0.586,-2.42,0.0,0.0,0.0,0.0,1.0,Sem Contraindicação - Ao Vivo,0.0605,112.917,4.0,https://api.spotify.com/v1/tracks/0pqyzGaS6qpdHs3bzjVYzb,audio_features,spotify:track:0pqyzGaS6qpdHs3bzjVYzb,0.612
4,,4,0.245,https://api.spotify.com/v1/audio-analysis/3cPYDII1QoDmtR6lCUK4s1,Day e Lara,0.74,150400.0,0.0,0.762,0.0,3cPYDII1QoDmtR6lCUK4s1,0.0,1.0,0.205,-3.4139999999999997,0.0,0.0,0.0,0.0,1.0,Enquadra,0.0852,149.964,4.0,https://api.spotify.com/v1/tracks/3cPYDII1QoDmtR6lCUK4s1,audio_features,spotify:track:3cPYDII1QoDmtR6lCUK4s1,0.723
5,,5,0.289,https://api.spotify.com/v1/audio-analysis/6zZw7RPIs3IxDghP4UvWcY,Nego do Borel,0.9,182627.0,0.0,0.7829999999999999,0.0,6zZw7RPIs3IxDghP4UvWcY,0.0,8.0,0.182,-5.457999999999999,0.0,0.0,0.0,0.0,1.0,Esqueci Como Namora,0.3,98.06299999999999,4.0,https://api.spotify.com/v1/tracks/6zZw7RPIs3IxDghP4UvWcY,audio_features,spotify:track:6zZw7RPIs3IxDghP4UvWcY,0.815
6,,6,0.253,https://api.spotify.com/v1/audio-analysis/6aIrHPvM3l16MeS7iOQRYO,Dennis DJ,0.504,178960.0,0.0,0.8370000000000001,0.0,6aIrHPvM3l16MeS7iOQRYO,0.0,3.0,0.155,-2.917,0.0,0.0,0.0,0.0,1.0,Um Brinde,0.276,179.877,4.0,https://api.spotify.com/v1/tracks/6aIrHPvM3l16MeS7iOQRYO,audio_features,spotify:track:6aIrHPvM3l16MeS7iOQRYO,0.8009999999999999
0,,0,8.89e-05,https://api.spotify.com/v1/audio-analysis/5ERnPWGQc5QK7M7HW3rjC6,Black Sabbath,0.425,168440.0,0.0,0.622,0.0,5ERnPWGQc5QK7M7HW3rjC6,0.00164,4.0,0.17,-11.503,1.0,0.0,0.0,0.0,0.0,Paranoid,0.0744,162.474,4.0,https://api.spotify.com/v1/tracks/5ERnPWGQc5QK7M7HW3rjC6,audio_features,spotify:track:5ERnPWGQc5QK7M7HW3rjC6,0.376
1,,1,0.024,https://api.spotify.com/v1/audio-analysis/2RaA6kIcvomt77qlIgGhCT,Judas Priest,0.36200000000000004,153840.0,0.0,0.961,0.0,2RaA6kIcvomt77qlIgGhCT,9.35e-06,2.0,0.159,-5.664,1.0,1.0,0.0,0.0,0.0,Breaking the Law,0.0857,164.019,4.0,https://api.spotify.com/v1/tracks/2RaA6kIcvomt77qlIgGhCT,audio_features,spotify:track:2RaA6kIcvomt77qlIgGhCT,0.491
2,,2,0.0103,https://api.spotify.com/v1/audio-analysis/2JS1iE5A5RHvUPH5Zl9jlF,Iron Maiden,0.221,233960.0,0.0,0.956,0.0,2JS1iE5A5RHvUPH5Zl9jlF,0.000523,0.0,0.195,-4.641,1.0,1.0,0.0,0.0,0.0,Run to the Hills - 1998 Remastered Version,0.0876,173.25400000000002,4.0,https://api.spotify.com/v1/tracks/2JS1iE5A5RHvUPH5Zl9jlF,audio_features,spotify:track:2JS1iE5A5RHvUPH5Zl9jlF,0.43200000000000005
3,,3,0.469,https://api.spotify.com/v1/audio-analysis/2tAeN2TKlQLOoSPXtARzBV,Van Halen,0.225,102080.0,0.0,0.6890000000000001,0.0,2tAeN2TKlQLOoSPXtARzBV,0.813,8.0,0.337,-9.12,1.0,1.0,0.0,0.0,0.0,Eruption - 2015 Remastered Version,0.0555,93.79799999999999,4.0,https://api.spotify.com/v1/tracks/2tAeN2TKlQLOoSPXtARzBV,audio_features,spotify:track:2tAeN2TKlQLOoSPXtARzBV,0.5
4,,4,0.000805,https://api.spotify.com/v1/audio-analysis/51TG9W3y9qyO8BY5RXKgnZ,Megadeth,0.61,246733.0,0.0,0.8909999999999999,0.0,51TG9W3y9qyO8BY5RXKgnZ,0.0928,4.0,0.0657,-5.452000000000001,1.0,0.0,0.0,0.0,0.0,Symphony Of Destruction - 2004 Digital Remaster,0.0587,139.903,4.0,https://api.spotify.com/v1/tracks/51TG9W3y9qyO8BY5RXKgnZ,audio_features,spotify:track:51TG9W3y9qyO8BY5RXKgnZ,0.51
5,,5,0.00563,https://api.spotify.com/v1/audio-analysis/2S7dIlkIskYF2mv1R66O1m,Metallica,0.518,309973.0,0.0,0.858,0.0,2S7dIlkIskYF2mv1R66O1m,0.00349,0.0,0.0598,-6.147,1.0,1.0,0.0,0.0,0.0,For Whom The Bell Tolls - Remastered,0.0672,117.897,4.0,https://api.spotify.com/v1/tracks/2S7dIlkIskYF2mv1R66O1m,audio_features,spotify:track:2S7dIlkIskYF2mv1R66O1m,0.249
6,,6,0.004370000000000001,https://api.spotify.com/v1/audio-analysis/2SgbR6ttzoNlCRGQOKjrop,Pantera,0.415,243533.0,0.0,0.9079999999999999,0.0,2SgbR6ttzoNlCRGQOKjrop,0.0345,2.0,0.08199999999999999,-9.701,1.0,1.0,0.0,0.0,0.0,Cowboys From Hell,0.0765,114.816,4.0,https://api.spotify.com/v1/tracks/2SgbR6ttzoNlCRGQOKjrop,audio_features,spotify:track:2SgbR6ttzoNlCRGQOKjrop,0.43700000000000006
0,,0,0.316,https://api.spotify.com/v1/audio-analysis/6GoFm9E3Nkjve72dwOhmXj,Zeca Pagodinho,0.75,168893.0,,0.6890000000000001,,6GoFm9E3Nkjve72dwOhmXj,0.0,0.0,0.0503,-6.7010000000000005,,1.0,,,,Camarão Que Dorme A Onda Leva,0.0687,106.236,4.0,https://api.spotify.com/v1/tracks/6GoFm9E3Nkjve72dwOhmXj,audio_features,spotify:track:6GoFm9E3Nkjve72dwOhmXj,0.6809999999999999
1,,1,0.5589999999999999,https://api.spotify.com/v1/audio-analysis/5KDgtCIqnrnIb9thLNFc3j,Grupo Fundo De Quintal,0.445,296067.0,,0.84,,5KDgtCIqnrnIb9thLNFc3j,0.0,5.0,0.737,-10.82,,1.0,,,,A Batucada Dos Nossos Tantãs / Do Fundo Do Nosso Quintal,0.133,111.645,4.0,https://api.spotify.com/v1/tracks/5KDgtCIqnrnIb9thLNFc3j,audio_features,spotify:track:5KDgtCIqnrnIb9thLNFc3j,0.601
2,,2,0.35,https://api.spotify.com/v1/audio-analysis/1MnbzON2M0Md10P9BJZElG,"Diogo Nogueira, Martinho da Vila, Zeca Pagodinho, Jorge Aragão & Dona Ivone Lara",0.6659999999999999,241759.0,,0.703,,1MnbzON2M0Md10P9BJZElG,3.12e-06,9.0,0.233,-8.157,,0.0,,,,Poder da Criação,0.049,92.031,4.0,https://api.spotify.com/v1/tracks/1MnbzON2M0Md10P9BJZElG,audio_features,spotify:track:1MnbzON2M0Md10P9BJZElG,0.889
3,,3,0.415,https://api.spotify.com/v1/audio-analysis/3Hvhm0NXjx5mI0OOkPk06E,Zeca Pagodinho,0.529,212493.0,,0.775,,3Hvhm0NXjx5mI0OOkPk06E,0.0,11.0,0.779,-7.1579999999999995,,0.0,,,,Maneiras - Ao Vivo,0.0606,153.423,4.0,https://api.spotify.com/v1/tracks/3Hvhm0NXjx5mI0OOkPk06E,audio_features,spotify:track:3Hvhm0NXjx5mI0OOkPk06E,0.564
4,,4,0.49700000000000005,https://api.spotify.com/v1/audio-analysis/4oNk9WpCEytgOdYms1x5Fr,Elza Soares,0.45899999999999996,199560.0,,0.615,,4oNk9WpCEytgOdYms1x5Fr,0.0,11.0,0.11800000000000001,-9.581,,0.0,,,,Vou Festejar,0.0841,97.961,3.0,https://api.spotify.com/v1/tracks/4oNk9WpCEytgOdYms1x5Fr,audio_features,spotify:track:4oNk9WpCEytgOdYms1x5Fr,0.83
5,,5,0.649,https://api.spotify.com/v1/audio-analysis/0UvD9Oziehfgu0k8qyqSIj,Arlindo Cruz,0.541,214280.0,,0.866,,0UvD9Oziehfgu0k8qyqSIj,0.0,0.0,0.893,-6.087999999999999,,1.0,,,,O Show Tem Que Continuar,0.0501,97.958,4.0,https://api.spotify.com/v1/tracks/0UvD9Oziehfgu0k8qyqSIj,audio_features,spotify:track:0UvD9Oziehfgu0k8qyqSIj,0.748
6,,6,0.7070000000000001,https://api.spotify.com/v1/audio-analysis/4t4oqMSwwmpHzQIu1aok1z,Seu Jorge,0.795,248080.0,,0.9259999999999999,,4t4oqMSwwmpHzQIu1aok1z,0.0,9.0,0.0858,-5.034,,0.0,,,,Amiga Da Minha Mulher,0.136,104.037,4.0,https://api.spotify.com/v1/tracks/4t4oqMSwwmpHzQIu1aok1z,audio_features,spotify:track:4t4oqMSwwmpHzQIu1aok1z,0.7979999999999999
0,,0,,,Benjamin Britten,,,,,,,,,,,,,,,,"A Ceremony of Carols, Op. 28: IVb. Balulalow",,,,,,,
1,"{'danceability': 0.409, 'energy': 0.163, 'key': 7, 'loudness': -18.168, 'mode': 0, 'speechiness': 0.0449, 'acousticness': 0.966, 'instrumentalness': 0.0373, 'liveness': 0.146, 'valence': 0.299, 'tempo': 85.971, 'type': 'audio_features', 'id': '7sNawUm7IsWCx1ADTDcpao', 'uri': 'spotify:track:7sNawUm7IsWCx1ADTDcpao', 'track_href': 'https://api.spotify.com/v1/tracks/7sNawUm7IsWCx1ADTDcpao', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7sNawUm7IsWCx1ADTDcpao', 'duration_ms': 355933, 'time_signature': 3}",1,,,Wolfgang Amadeus Mozart,,,,,,,,,,,,,,,,"Sonata For Piano And Violin In G Major, K.379: 1b. Allegro - Live",,,,,,,
2,"{'danceability': 0.163, 'energy': 0.0734, 'key': 2, 'loudness': -22.575, 'mode': 1, 'speechiness': 0.041, 'acousticness': 0.927, 'instrumentalness': 0.95, 'liveness': 0.0896, 'valence': 0.137, 'tempo': 67.633, 'type': 'audio_features', 'id': '0csKGzO4Q7Cqgf12qNOZLa', 'uri': 'spotify:track:0csKGzO4Q7Cqgf12qNOZLa', 'track_href': 'https://api.spotify.com/v1/tracks/0csKGzO4Q7Cqgf12qNOZLa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0csKGzO4Q7Cqgf12qNOZLa', 'duration_ms': 172839, 'time_signature': 4}",2,,,Arcangelo Corelli,,,,,,,,,,,,,,,,"Concerto grosso in G Minor, Op. 6 No. 8 ""Christmas Concerto"": III. Adagio - Allegro - Adagio",,,,,,,
3,,3,,,Karol Szymanowski,,,,,,,,,,,,,,,,"4 Etudes, Op. 4: No. 3 in B-Flat Minor, Andante",,,,,,,
4,"{'danceability': 0.365, 'energy': 0.141, 'key': 6, 'loudness': -18.913, 'mode': 0, 'speechiness': 0.0367, 'acousticness': 0.87, 'instrumentalness': 0.000163, 'liveness': 0.0899, 'valence': 0.324, 'tempo': 49.009, 'type': 'audio_features', 'id': '1g8NkqKN6TRWgOW04F1qm8', 'uri': 'spotify:track:1g8NkqKN6TRWgOW04F1qm8', 'track_href': 'https://api.spotify.com/v1/tracks/1g8NkqKN6TRWgOW04F1qm8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1g8NkqKN6TRWgOW04F1qm8', 'duration_ms': 133539, 'time_signature': 4}",4,,,José Palomino,,,,,,,,,,,,,,,,Concerto o sia Quintetto: II. Andante,,,,,,,
5,,5,,,Sergei Prokofiev,,,,,,,,,,,,,,,,"5 Melodies for Violin and Piano, Op. 35bis: II. Lento ma non troppo",,,,,,,
6,"{'danceability': 0.327, 'energy': 0.133, 'key': 2, 'loudness': -21.381, 'mode': 0, 'speechiness': 0.034, 'acousticness': 0.967, 'instrumentalness': 0.866, 'liveness': 0.136, 'valence': 0.13, 'tempo': 111.018, 'type': 'audio_features', 'id': '0uRYb9msEzUrQylhbPvm7Q', 'uri': 'spotify:track:0uRYb9msEzUrQylhbPvm7Q', 'track_href': 'https://api.spotify.com/v1/tracks/0uRYb9msEzUrQylhbPvm7Q', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0uRYb9msEzUrQylhbPvm7Q', 'duration_ms': 526061, 'time_signature': 3}",6,,,Johannes Brahms,,,,,,,,,,,,,,,,"Piano Concerto No. 2 in B-Flat Major, Op. 83: II. Allegro appassionato",,,,,,,
0,,0,0.145,https://api.spotify.com/v1/audio-analysis/6VpQdig9pdpTSIFItgkJV5,Camila Cabello,0.643,227088.0,,0.7090000000000001,,6VpQdig9pdpTSIFItgkJV5,0.000449,0.0,0.115,-4.343,,1.0,,,,Never Be the Same,0.0733,129.961,4.0,https://api.spotify.com/v1/tracks/6VpQdig9pdpTSIFItgkJV5,audio_features,spotify:track:6VpQdig9pdpTSIFItgkJV5,0.264
1,,1,0.18,https://api.spotify.com/v1/audio-analysis/3Ga6eKrUFf12ouh9Yw3v2D,Anitta,0.775,193456.0,,0.679,,3Ga6eKrUFf12ouh9Yw3v2D,7.26e-05,4.0,0.068,-4.985,,0.0,,,,Downtown,0.135,166.00799999999998,4.0,https://api.spotify.com/v1/tracks/3Ga6eKrUFf12ouh9Yw3v2D,audio_features,spotify:track:3Ga6eKrUFf12ouh9Yw3v2D,0.619
2,,2,0.0322,https://api.spotify.com/v1/audio-analysis/1zsG4eaZmkA1dvjDDsAGLK,Luis Fonsi,0.7240000000000001,173720.0,,0.895,,1zsG4eaZmkA1dvjDDsAGLK,0.0,7.0,0.09699999999999999,-3.617,,1.0,,,,Échame La Culpa,0.0411,96.022,4.0,https://api.spotify.com/v1/tracks/1zsG4eaZmkA1dvjDDsAGLK,audio_features,spotify:track:1zsG4eaZmkA1dvjDDsAGLK,0.64
3,,3,0.00274,https://api.spotify.com/v1/audio-analysis/6tF92PMv01Ug9Dh8Rmy6nH,Dua Lipa,0.7559999999999999,209333.0,,0.682,,6tF92PMv01Ug9Dh8Rmy6nH,8.85e-06,9.0,0.147,-6.577000000000001,,0.0,,,,New Rules,0.0753,116.008,4.0,https://api.spotify.com/v1/tracks/6tF92PMv01Ug9Dh8Rmy6nH,audio_features,spotify:track:6tF92PMv01Ug9Dh8Rmy6nH,0.589
4,,4,0.139,https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC,Selena Gomez,0.715,197993.0,,0.802,,7EmGUiUaOSGDnUUQUDrOXC,0.0,11.0,0.177,-4.647,,0.0,,,,Wolves,0.0394,124.98899999999999,4.0,https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC,audio_features,spotify:track:7EmGUiUaOSGDnUUQUDrOXC,0.327
5,,5,0.316,https://api.spotify.com/v1/audio-analysis/2amzBJRBPOGszBem4FedfE,NF,0.6609999999999999,212120.0,,0.715,,2amzBJRBPOGszBem4FedfE,0.0,5.0,0.17800000000000002,-5.651,,0.0,,,,Let You Down,0.11900000000000001,148.02700000000002,4.0,https://api.spotify.com/v1/tracks/2amzBJRBPOGszBem4FedfE,audio_features,spotify:track:2amzBJRBPOGszBem4FedfE,0.41100000000000003
6,,6,0.13,https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx,Post Malone,0.5770000000000001,218320.0,,0.522,,7wGoVu4Dady5GV0Sv4UIsx,9.03e-05,5.0,0.142,-6.593999999999999,,0.0,,,,rockstar,0.0984,159.77200000000002,4.0,https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx,audio_features,spotify:track:7wGoVu4Dady5GV0Sv4UIsx,0.11900000000000001
0,,0,0.0356,https://api.spotify.com/v1/audio-analysis/53opf145KiqlZQJE9QEOXx,Lenine,0.7020000000000001,154960.0,,0.644,,53opf145KiqlZQJE9QEOXx,0.00035099999999999997,5.0,0.127,-7.946000000000001,,1.0,,,,Aquilo Que Dá No Coração,0.0482,99.917,4.0,https://api.spotify.com/v1/tracks/53opf145KiqlZQJE9QEOXx,audio_features,spotify:track:53opf145KiqlZQJE9QEOXx,0.669
1,,1,0.516,https://api.spotify.com/v1/audio-analysis/2wNs0eBXiEgJHIiOrpnnoZ,Maria Gadú,0.8320000000000001,215800.0,,0.49700000000000005,,2wNs0eBXiEgJHIiOrpnnoZ,0.0,1.0,0.146,-7.678,,0.0,,,,Linha Tênue,0.0452,133.944,4.0,https://api.spotify.com/v1/tracks/2wNs0eBXiEgJHIiOrpnnoZ,audio_features,spotify:track:2wNs0eBXiEgJHIiOrpnnoZ,0.8859999999999999
2,,2,0.47200000000000003,https://api.spotify.com/v1/audio-analysis/4THhSMVKTUASFp9N3mYlVU,Maria Gadú,0.679,204840.0,,0.44299999999999995,,4THhSMVKTUASFp9N3mYlVU,0.0009699999999999999,7.0,0.187,-10.67,,1.0,,,,Encontro,0.0393,90.036,4.0,https://api.spotify.com/v1/tracks/4THhSMVKTUASFp9N3mYlVU,audio_features,spotify:track:4THhSMVKTUASFp9N3mYlVU,0.363
3,,3,0.413,https://api.spotify.com/v1/audio-analysis/4ibLIm27g62H4Pr1mOPMaG,Leandro Léo,0.425,299973.0,,0.359,,4ibLIm27g62H4Pr1mOPMaG,2.98e-05,1.0,0.9540000000000001,-11.265,,0.0,,,,João de Barro,0.0312,113.848,4.0,https://api.spotify.com/v1/tracks/4ibLIm27g62H4Pr1mOPMaG,audio_features,spotify:track:4ibLIm27g62H4Pr1mOPMaG,0.127
