,Unnamed: 0,Unnamed: 0.1,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,funk,eletronica,rap,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
402,402,52,0.0424,https://api.spotify.com/v1/audio-analysis/7CEJH5Ed7FBbXF6CqBQPlJ,0.942,215423,0.5589999999999999,7CEJH5Ed7FBbXF6CqBQPlJ,0.0,10,0.0938,-6.4060000000000015,0,0.0638,133.01,4,https://api.spotify.com/v1/tracks/7CEJH5Ed7FBbXF6CqBQPlJ,audio_features,spotify:track:7CEJH5Ed7FBbXF6CqBQPlJ,0.5820000000000001,My Dawg,Lil Baby,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
403,403,53,0.35,https://api.spotify.com/v1/audio-analysis/7Ay41oJQbfdIrhfNy46PuD,0.861,186096,0.627,7Ay41oJQbfdIrhfNy46PuD,0.0,4,0.112,-6.438,1,0.342,139.989,4,https://api.spotify.com/v1/tracks/7Ay41oJQbfdIrhfNy46PuD,audio_features,spotify:track:7Ay41oJQbfdIrhfNy46PuD,0.929,We Don't Luv Em,HoodRich Pablo Juan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
404,404,54,0.409,https://api.spotify.com/v1/audio-analysis/0pZ2vkhWBEWWOwuAB8OlgE,0.708,220147,0.643,0pZ2vkhWBEWWOwuAB8OlgE,0.0,10,0.116,-5.297999999999999,0,0.127,75.024,1,https://api.spotify.com/v1/tracks/0pZ2vkhWBEWWOwuAB8OlgE,audio_features,spotify:track:0pZ2vkhWBEWWOwuAB8OlgE,0.542,No Chance,Eskeerdo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
405,405,55,0.0623,https://api.spotify.com/v1/audio-analysis/5k2AP4fd1lKPOvSmYIVrkY,0.754,221842,0.556,5k2AP4fd1lKPOvSmYIVrkY,0.00628,5,0.0792,-8.527000000000001,0,0.23,147.946,4,https://api.spotify.com/v1/tracks/5k2AP4fd1lKPOvSmYIVrkY,audio_features,spotify:track:5k2AP4fd1lKPOvSmYIVrkY,0.349,How You Live (feat. MfnMelo),Saba,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
406,406,56,0.412,https://api.spotify.com/v1/audio-analysis/2CtTMPciogZTlJhriyzsvL,0.611,211320,0.414,2CtTMPciogZTlJhriyzsvL,0.0008849999999999998,9,0.102,-9.416,1,0.0316,101.918,4,https://api.spotify.com/v1/tracks/2CtTMPciogZTlJhriyzsvL,audio_features,spotify:track:2CtTMPciogZTlJhriyzsvL,0.195,Make It,Pvrx,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
407,407,57,0.16699999999999998,https://api.spotify.com/v1/audio-analysis/55oLGkxs6tvFCxDf2TWPPE,0.81,273365,0.713,55oLGkxs6tvFCxDf2TWPPE,0.0,4,0.192,-2.878,0,0.18,128.941,4,https://api.spotify.com/v1/tracks/55oLGkxs6tvFCxDf2TWPPE,audio_features,spotify:track:55oLGkxs6tvFCxDf2TWPPE,0.321,Today's A Good Day,Hardo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
408,408,58,0.0704,https://api.spotify.com/v1/audio-analysis/56eRdpppqn0p93DjaoLBPe,0.787,174880,0.6659999999999999,56eRdpppqn0p93DjaoLBPe,0.0,9,0.0935,-7.7189999999999985,0,0.0522,143.016,4,https://api.spotify.com/v1/tracks/56eRdpppqn0p93DjaoLBPe,audio_features,spotify:track:56eRdpppqn0p93DjaoLBPe,0.389,Maybe,Russ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
409,409,59,0.022,https://api.spotify.com/v1/audio-analysis/73fmW1b06uvxQu97TasHcJ,0.6970000000000001,231498,0.6829999999999999,73fmW1b06uvxQu97TasHcJ,0.0,8,0.266,-3.484,1,0.0359,109.95,4,https://api.spotify.com/v1/tracks/73fmW1b06uvxQu97TasHcJ,audio_features,spotify:track:73fmW1b06uvxQu97TasHcJ,0.17800000000000002,No No No,GASHI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
410,410,60,0.16699999999999998,https://api.spotify.com/v1/audio-analysis/5revTgRBDqNp4ZXHf3psnW,0.851,297744,0.634,5revTgRBDqNp4ZXHf3psnW,0.0,1,0.192,-5.4270000000000005,1,0.0736,130.045,4,https://api.spotify.com/v1/tracks/5revTgRBDqNp4ZXHf3psnW,audio_features,spotify:track:5revTgRBDqNp4ZXHf3psnW,0.331,Do What I Wanna Do (feat. Migos),HoodRich Pablo Juan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
411,411,61,0.022,https://api.spotify.com/v1/audio-analysis/54yfJa2qHzHMI0HWIGt7Nm,0.957,224000,0.62,54yfJa2qHzHMI0HWIGt7Nm,0.0,7,0.123,-6.261,1,0.265,120.006,4,https://api.spotify.com/v1/tracks/54yfJa2qHzHMI0HWIGt7Nm,audio_features,spotify:track:54yfJa2qHzHMI0HWIGt7Nm,0.507,Work,Q Money,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
