,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,gym,focus,relax,party
89,0.0499,https://api.spotify.com/v1/audio-analysis/2AHejGSGKvO4qu4f26uyEa,0.211,383933,0.644,2AHejGSGKvO4qu4f26uyEa,0.795,6,0.11,-8.299,0,0.0402,136.123,4,https://api.spotify.com/v1/tracks/2AHejGSGKvO4qu4f26uyEa,audio_features,spotify:track:2AHejGSGKvO4qu4f26uyEa,0.0455,From Embrace To Embrace,Joy Wants Eternity,0,1,0,0
90,0.463,https://api.spotify.com/v1/audio-analysis/3nvpVuUE9mO7fvFI6E9WYY,0.171,212789,0.384,3nvpVuUE9mO7fvFI6E9WYY,0.929,11,0.112,-11.735,0,0.0309,90.022,4,https://api.spotify.com/v1/tracks/3nvpVuUE9mO7fvFI6E9WYY,audio_features,spotify:track:3nvpVuUE9mO7fvFI6E9WYY,0.0386,Entirety,Bon Vie,0,1,0,0
91,0.676,https://api.spotify.com/v1/audio-analysis/68VSV9DQESOHiEtoPvNK3n,0.339,240000,0.358,68VSV9DQESOHiEtoPvNK3n,0.469,8,0.0804,-7.404,1,0.031,94.979,3,https://api.spotify.com/v1/tracks/68VSV9DQESOHiEtoPvNK3n,audio_features,spotify:track:68VSV9DQESOHiEtoPvNK3n,0.0372,Let Me Keep This Memory,U137,0,1,0,0
92,0.293,https://api.spotify.com/v1/audio-analysis/49fKIKnEXvfCEy2HWwKwVG,0.26,310107,0.415,49fKIKnEXvfCEy2HWwKwVG,0.826,3,0.105,-13.674,1,0.034,183.968,4,https://api.spotify.com/v1/tracks/49fKIKnEXvfCEy2HWwKwVG,audio_features,spotify:track:49fKIKnEXvfCEy2HWwKwVG,0.0415,Ether,Mogwai,0,1,0,0
93,0.882,https://api.spotify.com/v1/audio-analysis/6krgLzxDrIi1VdmEpfxEOw,0.529,343009,0.471,6krgLzxDrIi1VdmEpfxEOw,0.928,8,0.0573,-9.683,1,0.0332,113.016,4,https://api.spotify.com/v1/tracks/6krgLzxDrIi1VdmEpfxEOw,audio_features,spotify:track:6krgLzxDrIi1VdmEpfxEOw,0.0858,Lighthouse,Seas of Years,0,1,0,0
94,0.969,https://api.spotify.com/v1/audio-analysis/71K4Q4aiUef8wlUps83CUm,0.0871,486973,0.195,71K4Q4aiUef8wlUps83CUm,0.928,5,0.0964,-15.688,1,0.0389,169.007,4,https://api.spotify.com/v1/tracks/71K4Q4aiUef8wlUps83CUm,audio_features,spotify:track:71K4Q4aiUef8wlUps83CUm,0.034,The Last Stage of Consumption,Lowercase Noises,0,1,0,0
95,0.43,https://api.spotify.com/v1/audio-analysis/0OF6WSdeVmYEGBZlxvwvLq,0.496,248125,0.0936,0OF6WSdeVmYEGBZlxvwvLq,0.94,1,0.0997,-22.248,0,0.0359,120.116,4,https://api.spotify.com/v1/tracks/0OF6WSdeVmYEGBZlxvwvLq,audio_features,spotify:track:0OF6WSdeVmYEGBZlxvwvLq,0.0308,Anything You Synthesize - Ambient,The American Dollar,0,1,0,0
96,0.917,https://api.spotify.com/v1/audio-analysis/29ik9cmDBUOv4qjhEuFF53,0.506,307200,0.362,29ik9cmDBUOv4qjhEuFF53,0.831,0,0.122,-11.284,1,0.0288,74.985,3,https://api.spotify.com/v1/tracks/29ik9cmDBUOv4qjhEuFF53,audio_features,spotify:track:29ik9cmDBUOv4qjhEuFF53,0.112,Last Sun,Fjordne,0,1,0,0
97,0.462,https://api.spotify.com/v1/audio-analysis/2XVmWYEwZCdasybflM4Q2l,0.162,257391,0.259,2XVmWYEwZCdasybflM4Q2l,0.956,0,0.0904,-16.111,1,0.0424,132.006,4,https://api.spotify.com/v1/tracks/2XVmWYEwZCdasybflM4Q2l,audio_features,spotify:track:2XVmWYEwZCdasybflM4Q2l,0.0278,Gratification,Halcyon Fields,0,1,0,0
98,0.522,https://api.spotify.com/v1/audio-analysis/1dhjmr1m86R9NUDRBpWowk,0.464,303673,0.418,1dhjmr1m86R9NUDRBpWowk,0.907,6,0.152,-13.756,1,0.0286,97.983,4,https://api.spotify.com/v1/tracks/1dhjmr1m86R9NUDRBpWowk,audio_features,spotify:track:1dhjmr1m86R9NUDRBpWowk,0.0669,Fireflies,Random Forest,0,1,0,0
99,0.991,https://api.spotify.com/v1/audio-analysis/5U2WQ74Tyc2OHKCK2KvGi5,0.447,130083,0.169,5U2WQ74Tyc2OHKCK2KvGi5,0.938,0,0.0961,-17.756,1,0.0452,72.915,3,https://api.spotify.com/v1/tracks/5U2WQ74Tyc2OHKCK2KvGi5,audio_features,spotify:track:5U2WQ74Tyc2OHKCK2KvGi5,0.208,In This Together,Boil the Ocean,0,1,0,0
0,0.956,https://api.spotify.com/v1/audio-analysis/0JGfoZbSvYQiPVQQQSSxmr,0.397,193387,0.0767,0JGfoZbSvYQiPVQQQSSxmr,0.856,5,0.0992,-15.786,1,0.0374,122.626,4,https://api.spotify.com/v1/tracks/0JGfoZbSvYQiPVQQQSSxmr,audio_features,spotify:track:0JGfoZbSvYQiPVQQQSSxmr,0.0365,Clear Language,Balmorhea,0,1,0,0
1,0.014,https://api.spotify.com/v1/audio-analysis/4RAXSgWjXAFczeUjgLSKpZ,0.31,150611,0.441,4RAXSgWjXAFczeUjgLSKpZ,0.871,6,0.112,-8.251,0,0.0318,130.025,5,https://api.spotify.com/v1/tracks/4RAXSgWjXAFczeUjgLSKpZ,audio_features,spotify:track:4RAXSgWjXAFczeUjgLSKpZ,0.104,Ravelling,"At The End Of Times, Nothing",0,1,0,0
2,0.949,https://api.spotify.com/v1/audio-analysis/6IhFOgNP7YeQ3PoI8kcRLn,0.311,179000,0.109,6IhFOgNP7YeQ3PoI8kcRLn,0.882,9,0.127,-17.777,1,0.0347,137.049,4,https://api.spotify.com/v1/tracks/6IhFOgNP7YeQ3PoI8kcRLn,audio_features,spotify:track:6IhFOgNP7YeQ3PoI8kcRLn,0.0775,You’re So Very Far Away,Clem Leek,0,1,0,0
3,0.871,https://api.spotify.com/v1/audio-analysis/6wpJHhMHSvyiPlnSpdNPSA,0.314,160465,0.225,6wpJHhMHSvyiPlnSpdNPSA,0.927,0,0.088,-17.105,1,0.0329,85.986,4,https://api.spotify.com/v1/tracks/6wpJHhMHSvyiPlnSpdNPSA,audio_features,spotify:track:6wpJHhMHSvyiPlnSpdNPSA,0.0607,Goodbye Sierra,The Echelon Effect,0,1,0,0
