,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist
9,0.886,https://api.spotify.com/v1/audio-analysis/2cXuMaLQcHxx3JF4F6NGab,0.684,164373,0.333,2cXuMaLQcHxx3JF4F6NGab,0.0,5,0.286,-10.487,1,0.0524,157.887,4,https://api.spotify.com/v1/tracks/2cXuMaLQcHxx3JF4F6NGab,audio_features,spotify:track:2cXuMaLQcHxx3JF4F6NGab,0.833,My Babe - Single Version,Little Walter
10,0.67,https://api.spotify.com/v1/audio-analysis/3KSchPNSklO5McIqRH3qYX,0.542,238533,0.588,3KSchPNSklO5McIqRH3qYX,0.158,2,0.241,-9.268,1,0.0665,113.948,3,https://api.spotify.com/v1/tracks/3KSchPNSklO5McIqRH3qYX,audio_features,spotify:track:3KSchPNSklO5McIqRH3qYX,0.881,I'm Your Hoochie Coochie Man,Muddy Waters
11,0.805,https://api.spotify.com/v1/audio-analysis/6Nv8dfTm2qMjJeP7OL3hO7,0.668,149867,0.0423,6Nv8dfTm2qMjJeP7OL3hO7,0.0,2,0.433,-16.374,1,0.369,129.482,4,https://api.spotify.com/v1/tracks/6Nv8dfTm2qMjJeP7OL3hO7,audio_features,spotify:track:6Nv8dfTm2qMjJeP7OL3hO7,0.564,John the Revelator,Son House
12,0.678,https://api.spotify.com/v1/audio-analysis/0yOFuMZLW6xvns77bwTomm,0.717,191840,0.43,0yOFuMZLW6xvns77bwTomm,0.106,5,0.386,-10.469,0,0.0525,114.03,4,https://api.spotify.com/v1/tracks/0yOFuMZLW6xvns77bwTomm,audio_features,spotify:track:0yOFuMZLW6xvns77bwTomm,0.8,Help Me,Sonny Boy Williamson II
13,0.231,https://api.spotify.com/v1/audio-analysis/5zK16LgK85cKTQvDnmk1aP,0.861,153400,0.389,5zK16LgK85cKTQvDnmk1aP,0.577,1,0.0381,-14.029,1,0.0517,122.463,4,https://api.spotify.com/v1/tracks/5zK16LgK85cKTQvDnmk1aP,audio_features,spotify:track:5zK16LgK85cKTQvDnmk1aP,0.94,Crosscut Saw,Albert King
14,0.805,https://api.spotify.com/v1/audio-analysis/3DjwjAUPT4zvIu6ZzcgLGJ,0.541,228627,0.283,3DjwjAUPT4zvIu6ZzcgLGJ,0.0367,0,0.0736,-13.659,1,0.0527,76.828,4,https://api.spotify.com/v1/tracks/3DjwjAUPT4zvIu6ZzcgLGJ,audio_features,spotify:track:3DjwjAUPT4zvIu6ZzcgLGJ,0.564,T-Bone Blues,T-Bone Walker
15,0.101,https://api.spotify.com/v1/audio-analysis/0RTjFVHvqjTdpX2NawwyXI,0.678,216627,0.612,0RTjFVHvqjTdpX2NawwyXI,0.318,4,0.164,-9.764,1,0.0339,118.381,4,https://api.spotify.com/v1/tracks/0RTjFVHvqjTdpX2NawwyXI,audio_features,spotify:track:0RTjFVHvqjTdpX2NawwyXI,0.857,Stumble,Freddie King
16,0.442,https://api.spotify.com/v1/audio-analysis/7dVUGBGYrYBJakUw1JKhrq,0.708,126933,0.324,7dVUGBGYrYBJakUw1JKhrq,0.000147,2,0.149,-13.247,1,0.332,103.924,4,https://api.spotify.com/v1/tracks/7dVUGBGYrYBJakUw1JKhrq,audio_features,spotify:track:7dVUGBGYrYBJakUw1JKhrq,0.638,Hoodoo Man Blues,Junior Wells
17,0.833,https://api.spotify.com/v1/audio-analysis/2xar08Fq5xra2KKZs5Bw9j,0.556,171467,0.61,2xar08Fq5xra2KKZs5Bw9j,2.22e-06,9,0.258,-4.729,1,0.213,199.373,4,https://api.spotify.com/v1/tracks/2xar08Fq5xra2KKZs5Bw9j,audio_features,spotify:track:2xar08Fq5xra2KKZs5Bw9j,0.665,I've Got A Woman,Ray Charles
18,0.708,https://api.spotify.com/v1/audio-analysis/4htRmfD1DlMeuuxURDd3ub,0.854,163360,0.466,4htRmfD1DlMeuuxURDd3ub,0.000267,9,0.0835,-8.997,1,0.0426,119.108,4,https://api.spotify.com/v1/tracks/4htRmfD1DlMeuuxURDd3ub,audio_features,spotify:track:4htRmfD1DlMeuuxURDd3ub,0.634,Spoonful,Howlin' Wolf
19,0.416,https://api.spotify.com/v1/audio-analysis/5YdYQZBFseAq1ZtBWMjINr,0.8,371287,0.441,5YdYQZBFseAq1ZtBWMjINr,0.0404,0,0.314,-15.98,1,0.0604,109.889,4,https://api.spotify.com/v1/tracks/5YdYQZBFseAq1ZtBWMjINr,audio_features,spotify:track:5YdYQZBFseAq1ZtBWMjINr,0.795,Back Door Man,Willie Dixon
20,0.492,https://api.spotify.com/v1/audio-analysis/4Gia17DzXBhYFbYiJj6SyW,0.633,147800,0.625,4Gia17DzXBhYFbYiJj6SyW,0.000418,0,0.204,-10.951,1,0.0436,103.355,4,https://api.spotify.com/v1/tracks/4Gia17DzXBhYFbYiJj6SyW,audio_features,spotify:track:4Gia17DzXBhYFbYiJj6SyW,0.841,Working Man,Otis Rush
