,Unnamed: 0,acousticness,analysis_url,artist,danceability,duration_ms,eletronica,energy,funk,id,instrumentalness,key,liveness,loudness,metal,mode,rap,rock,sertanejo,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
10,,0.00653,https://api.spotify.com/v1/audio-analysis/0izojWByMi0kVjiAd2MYqD,MC Jhowzinho e MC Kadinho,0.879,189231,0,0.701,1,0izojWByMi0kVjiAd2MYqD,9.03e-06,1,0.143,3.194,0,1,0,0,0,Aquecimento das Potrancas,0.181,160.018,4,https://api.spotify.com/v1/tracks/0izojWByMi0kVjiAd2MYqD,audio_features,spotify:track:0izojWByMi0kVjiAd2MYqD,0.802
11,,0.581,https://api.spotify.com/v1/audio-analysis/0mF1TP5UF6YNLQM2G4NFXk,MC Hariel,0.65,160000,0,0.561,1,0mF1TP5UF6YNLQM2G4NFXk,1.98e-06,6,0.12,1.934,0,0,0,0,0,Mo Brisa,0.155,117.404,4,https://api.spotify.com/v1/tracks/0mF1TP5UF6YNLQM2G4NFXk,audio_features,spotify:track:0mF1TP5UF6YNLQM2G4NFXk,0.79
12,,0.126,https://api.spotify.com/v1/audio-analysis/6ZR7rT7vfwtY0EqyLeyAaO,Mc Gw,0.687,190354,0,0.872,1,6ZR7rT7vfwtY0EqyLeyAaO,0.00839,10,0.0906,3.013,0,0,0,0,0,Ritmo Mexicano,0.0983,179.991,4,https://api.spotify.com/v1/tracks/6ZR7rT7vfwtY0EqyLeyAaO,audio_features,spotify:track:6ZR7rT7vfwtY0EqyLeyAaO,0.706
13,,0.23,https://api.spotify.com/v1/audio-analysis/1hMO03IzA9fp1diMsTrZMe,Mc Tha,0.931,240124,0,0.696,1,1hMO03IzA9fp1diMsTrZMe,0.0218,4,0.352,6.453,0,0,0,0,0,Bonde da Pantera,0.0579,117.964,4,https://api.spotify.com/v1/tracks/1hMO03IzA9fp1diMsTrZMe,audio_features,spotify:track:1hMO03IzA9fp1diMsTrZMe,0.798
14,,0.238,https://api.spotify.com/v1/audio-analysis/5FFn4Dck9Q4He0a1cneS0s,Menor,0.715,152093,0,0.879,1,5FFn4Dck9Q4He0a1cneS0s,0.0,4,0.0941,3.373,0,1,0,0,0,Bem Distante Dela,0.12,171.887,4,https://api.spotify.com/v1/tracks/5FFn4Dck9Q4He0a1cneS0s,audio_features,spotify:track:5FFn4Dck9Q4He0a1cneS0s,0.888
15,,0.0614,https://api.spotify.com/v1/audio-analysis/75V5I4lgGx0bAzvcGO8P3U,MC Hollywood,0.924,182309,0,0.825,1,75V5I4lgGx0bAzvcGO8P3U,0.000632,8,0.127,0.228,0,1,0,0,0,Nunca Mais Eu Vou Dormir,0.285,132.958,4,https://api.spotify.com/v1/tracks/75V5I4lgGx0bAzvcGO8P3U,audio_features,spotify:track:75V5I4lgGx0bAzvcGO8P3U,0.708
16,,0.0558,https://api.spotify.com/v1/audio-analysis/5GPum71p3G7uaW75gJfASh,MC Bin Laden,0.939,151432,0,0.733,1,5GPum71p3G7uaW75gJfASh,0.0,1,0.0546,1.99,0,1,0,0,0,Bumbum Balança,0.216,129.946,4,https://api.spotify.com/v1/tracks/5GPum71p3G7uaW75gJfASh,audio_features,spotify:track:5GPum71p3G7uaW75gJfASh,0.627
17,,0.65,https://api.spotify.com/v1/audio-analysis/3eoZYHNvSweAX24Ljlf9FY,MC WM,0.953,158224,0,0.427,1,3eoZYHNvSweAX24Ljlf9FY,0.0,10,0.0607,5.818,0,0,0,0,0,Pancadão,0.0746,131.991,4,https://api.spotify.com/v1/tracks/3eoZYHNvSweAX24Ljlf9FY,audio_features,spotify:track:3eoZYHNvSweAX24Ljlf9FY,0.62
18,,0.564,https://api.spotify.com/v1/audio-analysis/4s75aDCVs0lm1ubPpw9cf8,Jerry Smith,0.656,189518,0,0.861,1,4s75aDCVs0lm1ubPpw9cf8,0.00583,7,0.0733,0.111,0,0,0,0,0,Nossa Que Absurdo,0.131,132.956,4,https://api.spotify.com/v1/tracks/4s75aDCVs0lm1ubPpw9cf8,audio_features,spotify:track:4s75aDCVs0lm1ubPpw9cf8,0.838
19,,0.0799,https://api.spotify.com/v1/audio-analysis/7bQ798Zl1FlT9dRMxkc77j,Perera DJ,0.931,199440,0,0.676,1,7bQ798Zl1FlT9dRMxkc77j,2.6e-05,2,0.101,3.39,0,1,0,0,0,Os Maloca,0.0701,129.933,4,https://api.spotify.com/v1/tracks/7bQ798Zl1FlT9dRMxkc77j,audio_features,spotify:track:7bQ798Zl1FlT9dRMxkc77j,0.0966
