,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist
35,0.842,https://api.spotify.com/v1/audio-analysis/5LFlbnHovbicto6N7GfhjF,0.438,251227,0.749,5LFlbnHovbicto6N7GfhjF,0.0,2,0.933,-6.423,0,0.105,107.377,4,https://api.spotify.com/v1/tracks/5LFlbnHovbicto6N7GfhjF,audio_features,spotify:track:5LFlbnHovbicto6N7GfhjF,0.57,A Amizade - Ao Vivo,Grupo Fundo De Quintal
36,0.649,https://api.spotify.com/v1/audio-analysis/7ILYC8EtWDXHaNYAPVqU7a,0.468,262813,0.884,7ILYC8EtWDXHaNYAPVqU7a,1.94e-06,11,0.972,-5.979,0,0.0615,98.452,4,https://api.spotify.com/v1/tracks/7ILYC8EtWDXHaNYAPVqU7a,audio_features,spotify:track:7ILYC8EtWDXHaNYAPVqU7a,0.551,Lucidez - Ao Vivo,Grupo Fundo De Quintal
37,0.68,https://api.spotify.com/v1/audio-analysis/0U6TxlZuL4iTocsFSB2ORS,0.44,256653,0.901,0U6TxlZuL4iTocsFSB2ORS,0.0,0,0.664,-5.541,1,0.0801,84.186,4,https://api.spotify.com/v1/tracks/0U6TxlZuL4iTocsFSB2ORS,audio_features,spotify:track:0U6TxlZuL4iTocsFSB2ORS,0.679,Amor dos Deuses / Sem Segredo - Ao Vivo,Grupo Fundo De Quintal
38,0.673,https://api.spotify.com/v1/audio-analysis/1tbxZprZ6D4WkatZdOROJl,0.473,403293,0.907,1tbxZprZ6D4WkatZdOROJl,0.0,2,0.906,-5.661,1,0.123,117.653,4,https://api.spotify.com/v1/tracks/1tbxZprZ6D4WkatZdOROJl,audio_features,spotify:track:1tbxZprZ6D4WkatZdOROJl,0.642,Facho de Esperança / Nascente da Paz / Poesia de Nós Dois - Ao Vivo,Grupo Fundo De Quintal
39,0.845,https://api.spotify.com/v1/audio-analysis/2YSLNSFt4gK4h5r6H8fA4i,0.506,210627,0.57,2YSLNSFt4gK4h5r6H8fA4i,0.0,0,0.675,-6.944,1,0.102,146.122,4,https://api.spotify.com/v1/tracks/2YSLNSFt4gK4h5r6H8fA4i,audio_features,spotify:track:2YSLNSFt4gK4h5r6H8fA4i,0.801,Em Um Outdoor - Live,Zeca Pagodinho
40,0.778,https://api.spotify.com/v1/audio-analysis/7mT4UXUP2hXW6oj15MMgzT,0.366,207000,0.609,7mT4UXUP2hXW6oj15MMgzT,9.31e-06,11,0.738,-8.08,0,0.232,61.785,4,https://api.spotify.com/v1/tracks/7mT4UXUP2hXW6oj15MMgzT,audio_features,spotify:track:7mT4UXUP2hXW6oj15MMgzT,0.808,Mordomia - Live,Almir Guineto
41,0.661,https://api.spotify.com/v1/audio-analysis/5TB6hQCVrMaK3zPxr2dKkg,0.474,192253,0.661,5TB6hQCVrMaK3zPxr2dKkg,0.0,1,0.933,-7.26,0,0.0757,166.269,4,https://api.spotify.com/v1/tracks/5TB6hQCVrMaK3zPxr2dKkg,audio_features,spotify:track:5TB6hQCVrMaK3zPxr2dKkg,0.708,Canto De Rainha - Live,Beth Carvalho
42,0.557,https://api.spotify.com/v1/audio-analysis/2Lryo3ed4ClsSYeuVJuf9k,0.433,226147,0.809,2Lryo3ed4ClsSYeuVJuf9k,0.0,11,0.634,-5.552,0,0.135,120.829,4,https://api.spotify.com/v1/tracks/2Lryo3ed4ClsSYeuVJuf9k,audio_features,spotify:track:2Lryo3ed4ClsSYeuVJuf9k,0.681,Dolores E Suas Desilusões / Coração Em Desalinho - Live,Monarco
43,0.577,https://api.spotify.com/v1/audio-analysis/6JIWLFj1WqrtJwgvaxhEou,0.43,302267,0.755,6JIWLFj1WqrtJwgvaxhEou,0.0,2,0.469,-4.469,1,0.253,76.637,3,https://api.spotify.com/v1/tracks/6JIWLFj1WqrtJwgvaxhEou,audio_features,spotify:track:6JIWLFj1WqrtJwgvaxhEou,0.841,Conflito / Caviar / Dona Esponja - Live,Trio Calafrio
44,0.582,https://api.spotify.com/v1/audio-analysis/7EhPd9XxfeGYX9iJKJIfAK,0.682,210400,0.81,7EhPd9XxfeGYX9iJKJIfAK,0.000537,11,0.725,-4.912,0,0.0639,91.916,4,https://api.spotify.com/v1/tracks/7EhPd9XxfeGYX9iJKJIfAK,audio_features,spotify:track:7EhPd9XxfeGYX9iJKJIfAK,0.899,Roda Ciranda / Segure Tudo / Casa De Bamba - Live,Martinho Da Vila
45,0.738,https://api.spotify.com/v1/audio-analysis/3XPRLJbJVq66RW06EteJAg,0.424,191867,0.615,3XPRLJbJVq66RW06EteJAg,4.56e-06,0,0.432,-8.305,1,0.0904,168.496,4,https://api.spotify.com/v1/tracks/3XPRLJbJVq66RW06EteJAg,audio_features,spotify:track:3XPRLJbJVq66RW06EteJAg,0.89,Minta Meu Sonho - Live,Jorge Aragão
46,0.506,https://api.spotify.com/v1/audio-analysis/1YDdbnkoXqQMZRP3n2v7h4,0.518,302240,0.902,1YDdbnkoXqQMZRP3n2v7h4,0.0,5,0.753,-3.552,1,0.16,119.717,4,https://api.spotify.com/v1/tracks/1YDdbnkoXqQMZRP3n2v7h4,audio_features,spotify:track:1YDdbnkoXqQMZRP3n2v7h4,0.839,Vou Botar Teu Nome Na Macumba / Quem É Ela? - Live,Dudu Nobre
47,0.743,https://api.spotify.com/v1/audio-analysis/0FZubgMOZsiZmk0i0TWhW8,0.547,278080,0.676,0FZubgMOZsiZmk0i0TWhW8,0.0,7,0.716,-5.818,1,0.0564,89.946,4,https://api.spotify.com/v1/tracks/0FZubgMOZsiZmk0i0TWhW8,audio_features,spotify:track:0FZubgMOZsiZmk0i0TWhW8,0.791,Quintal Do Céu - Live,Seu Jorge
48,0.719,https://api.spotify.com/v1/audio-analysis/0DaKMZkAjs4EmUQEvWyKgT,0.543,277333,0.697,0DaKMZkAjs4EmUQEvWyKgT,0.0,7,0.793,-7.377,1,0.0669,86.908,4,https://api.spotify.com/v1/tracks/0DaKMZkAjs4EmUQEvWyKgT,audio_features,spotify:track:0DaKMZkAjs4EmUQEvWyKgT,0.572,Mas Que Nada - Live,Jorge Ben Jor
49,0.539,https://api.spotify.com/v1/audio-analysis/5vryB0TX5RLIfXjoVDQrAh,0.431,196800,0.782,5vryB0TX5RLIfXjoVDQrAh,0.0,5,0.565,-6.325,1,0.308,167.616,3,https://api.spotify.com/v1/tracks/5vryB0TX5RLIfXjoVDQrAh,audio_features,spotify:track:5vryB0TX5RLIfXjoVDQrAh,0.834,Brincadeira Tem Hora - Live,Xande De Pilares
