,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,gym,focus,relax,party
46,0.968,https://api.spotify.com/v1/audio-analysis/2ogguaH3LQ2H8gsKKVypYU,0.204,216020,0.0799,2ogguaH3LQ2H8gsKKVypYU,0.922,0,0.0864,-22.987,0,0.0656,74.45,1,https://api.spotify.com/v1/tracks/2ogguaH3LQ2H8gsKKVypYU,audio_features,spotify:track:2ogguaH3LQ2H8gsKKVypYU,0.124,Going Home,Shiroishi,0,0,1,0
47,0.959,https://api.spotify.com/v1/audio-analysis/7tRSo93dz0b2zK7Pf5gSNn,0.0792,184000,0.186,7tRSo93dz0b2zK7Pf5gSNn,0.918,8,0.291,-22.858,1,0.04,81.332,4,https://api.spotify.com/v1/tracks/7tRSo93dz0b2zK7Pf5gSNn,audio_features,spotify:track:7tRSo93dz0b2zK7Pf5gSNn,0.039,Aum Boreal,Mahgreb Machine,0,0,1,0
48,0.995,https://api.spotify.com/v1/audio-analysis/5DY5yPvC4Jk2YxNeDsd7NI,0.151,190699,0.00857,5DY5yPvC4Jk2YxNeDsd7NI,0.948,8,0.101,-29.934,0,0.0394,68.407,1,https://api.spotify.com/v1/tracks/5DY5yPvC4Jk2YxNeDsd7NI,audio_features,spotify:track:5DY5yPvC4Jk2YxNeDsd7NI,0.0371,Open Spaces,Calm Solitude,0,0,1,0
49,0.75,https://api.spotify.com/v1/audio-analysis/0xXb8rsGM77cixpWrOz3ES,0.279,304286,0.0307,0xXb8rsGM77cixpWrOz3ES,0.812,8,0.345,-31.136,1,0.0394,125.833,3,https://api.spotify.com/v1/tracks/0xXb8rsGM77cixpWrOz3ES,audio_features,spotify:track:0xXb8rsGM77cixpWrOz3ES,0.0373,Lost Secrets,Floating Lights,0,0,1,0
50,0.984,https://api.spotify.com/v1/audio-analysis/29uf7mEX39sTXsaheuU9d7,0.267,443880,0.0322,29uf7mEX39sTXsaheuU9d7,0.816,1,0.232,-18.147,0,0.0359,88.531,4,https://api.spotify.com/v1/tracks/29uf7mEX39sTXsaheuU9d7,audio_features,spotify:track:29uf7mEX39sTXsaheuU9d7,0.0609,Relaxing on the Mountain,Chinmaya Dunster,0,0,1,0
51,0.855,https://api.spotify.com/v1/audio-analysis/1tvzK2FhiLm4mZS8tLe3pJ,0.349,122400,0.0853,1tvzK2FhiLm4mZS8tLe3pJ,0.984,2,0.104,-16.943,1,0.0359,99.57,4,https://api.spotify.com/v1/tracks/1tvzK2FhiLm4mZS8tLe3pJ,audio_features,spotify:track:1tvzK2FhiLm4mZS8tLe3pJ,0.0338,Kundalini,Kunana Briola,0,0,1,0
52,0.933,https://api.spotify.com/v1/audio-analysis/0XUy1qZdJpF4BYajBVQW2v,0.187,194453,0.0423,0XUy1qZdJpF4BYajBVQW2v,0.0,7,0.0617,-17.542,1,0.0381,68.035,4,https://api.spotify.com/v1/tracks/0XUy1qZdJpF4BYajBVQW2v,audio_features,spotify:track:0XUy1qZdJpF4BYajBVQW2v,0.0657,Balance,Meditation,0,0,1,0
53,0.978,https://api.spotify.com/v1/audio-analysis/754M7kBYPjPcPpyoN3Ti8C,0.167,197838,0.183,754M7kBYPjPcPpyoN3Ti8C,0.838,10,0.11,-20.844,0,0.0472,57.257,4,https://api.spotify.com/v1/tracks/754M7kBYPjPcPpyoN3Ti8C,audio_features,spotify:track:754M7kBYPjPcPpyoN3Ti8C,0.0328,Enchanted Dreams,Antologie,0,0,1,0
54,0.985,https://api.spotify.com/v1/audio-analysis/64Rc8eAYEcIVK486usaKtb,0.384,275187,0.1,64Rc8eAYEcIVK486usaKtb,0.951,1,0.107,-22.24,0,0.0314,68.938,3,https://api.spotify.com/v1/tracks/64Rc8eAYEcIVK486usaKtb,audio_features,spotify:track:64Rc8eAYEcIVK486usaKtb,0.109,Weightless - 2005 Digital Remaster,Brian Eno,0,0,1,0
55,0.981,https://api.spotify.com/v1/audio-analysis/2HKdtGy9D4GBnSA86qqsZ9,0.1,218710,0.0263,2HKdtGy9D4GBnSA86qqsZ9,0.978,7,0.0868,-27.13,1,0.051,70.473,5,https://api.spotify.com/v1/tracks/2HKdtGy9D4GBnSA86qqsZ9,audio_features,spotify:track:2HKdtGy9D4GBnSA86qqsZ9,0.0795,Moments,Pim Miles,0,0,1,0
56,0.988,https://api.spotify.com/v1/audio-analysis/5kOy4Ap0QsN24vCL9H3KTt,0.131,145800,0.233,5kOy4Ap0QsN24vCL9H3KTt,0.831,9,0.0936,-17.229,0,0.0364,90.691,4,https://api.spotify.com/v1/tracks/5kOy4Ap0QsN24vCL9H3KTt,audio_features,spotify:track:5kOy4Ap0QsN24vCL9H3KTt,0.0436,From Shores To Mountains,The 2 Inversions,0,0,1,0
57,0.932,https://api.spotify.com/v1/audio-analysis/2yKyUhBjdzX8WoEV7I4UTH,0.451,404933,0.211,2yKyUhBjdzX8WoEV7I4UTH,0.00936,10,0.104,-14.272,1,0.0705,165.625,5,https://api.spotify.com/v1/tracks/2yKyUhBjdzX8WoEV7I4UTH,audio_features,spotify:track:2yKyUhBjdzX8WoEV7I4UTH,0.235,Sadra in Sankara Karan,Ali Akbar Khan,0,0,1,0
58,0.988,https://api.spotify.com/v1/audio-analysis/6jJkW2RUsOHCe4hiIk1tED,0.188,204910,0.0249,6jJkW2RUsOHCe4hiIk1tED,0.866,10,0.112,-27.196,1,0.0373,91.814,1,https://api.spotify.com/v1/tracks/6jJkW2RUsOHCe4hiIk1tED,audio_features,spotify:track:6jJkW2RUsOHCe4hiIk1tED,0.0895,Quiet Dreams,MVS,0,0,1,0
59,0.847,https://api.spotify.com/v1/audio-analysis/4dEpwpGvhhMVRUwsi5ZdQ4,0.444,595973,0.386,4dEpwpGvhhMVRUwsi5ZdQ4,0.063,7,0.163,-10.969,1,0.0314,74.243,5,https://api.spotify.com/v1/tracks/4dEpwpGvhhMVRUwsi5ZdQ4,audio_features,spotify:track:4dEpwpGvhhMVRUwsi5ZdQ4,0.161,Yoga & Balance For A Emotional Flow,Yoga Tunes,0,0,1,0
60,0.952,https://api.spotify.com/v1/audio-analysis/0zA7Tk9TfjjzEDIG5eJvXF,0.248,538000,0.037,0zA7Tk9TfjjzEDIG5eJvXF,0.00533,5,0.0989,-22.315,1,0.0469,119.915,3,https://api.spotify.com/v1/tracks/0zA7Tk9TfjjzEDIG5eJvXF,audio_features,spotify:track:0zA7Tk9TfjjzEDIG5eJvXF,0.0395,Bija Mantra - Om Shrim Hrim Klim Mahalakshmyai Namaha (feat. Vidura Barrios),Music for Deep Meditation,0,0,1,0
61,0.992,https://api.spotify.com/v1/audio-analysis/4qbZuBtFrD55ATmDPRrNOQ,0.312,122177,0.012,4qbZuBtFrD55ATmDPRrNOQ,0.885,5,0.111,-31.292,0,0.0398,143.963,4,https://api.spotify.com/v1/tracks/4qbZuBtFrD55ATmDPRrNOQ,audio_features,spotify:track:4qbZuBtFrD55ATmDPRrNOQ,0.192,Slip into Darkness,Biqram,0,0,1,0
62,0.995,https://api.spotify.com/v1/audio-analysis/0EK2R1LzlH51tRFWAmodXo,0.28,174540,0.00231,0EK2R1LzlH51tRFWAmodXo,0.754,0,0.115,-28.557,0,0.0495,67.13,3,https://api.spotify.com/v1/tracks/0EK2R1LzlH51tRFWAmodXo,audio_features,spotify:track:0EK2R1LzlH51tRFWAmodXo,0.116,Going Home,Izumi Tanaka,0,0,1,0
63,0.942,https://api.spotify.com/v1/audio-analysis/1VZmICoSKxQVj6DEOt0O0K,0.177,175263,0.0618,1VZmICoSKxQVj6DEOt0O0K,0.968,3,0.106,-22.682,1,0.0433,80.96,4,https://api.spotify.com/v1/tracks/1VZmICoSKxQVj6DEOt0O0K,audio_features,spotify:track:1VZmICoSKxQVj6DEOt0O0K,0.0383,Aware,Inkognitone,0,0,1,0
64,0.972,https://api.spotify.com/v1/audio-analysis/682LbPTgwSkwOQGS16OsW5,0.153,191237,0.0148,682LbPTgwSkwOQGS16OsW5,0.679,6,0.122,-34.538,1,0.0482,137.103,3,https://api.spotify.com/v1/tracks/682LbPTgwSkwOQGS16OsW5,audio_features,spotify:track:682LbPTgwSkwOQGS16OsW5,0.0376,Calling,Muni Yogi,0,0,1,0
0,0.804,https://api.spotify.com/v1/audio-analysis/25J4d78ESH2MgAJoIakB8O,0.601,236720,0.262,25J4d78ESH2MgAJoIakB8O,0.0012,2,0.111,-8.743,1,0.0344,76.349,4,https://api.spotify.com/v1/tracks/25J4d78ESH2MgAJoIakB8O,audio_features,spotify:track:25J4d78ESH2MgAJoIakB8O,0.218,Lost In The Light,Bahamas,0,0,1,0
1,0.48,https://api.spotify.com/v1/audio-analysis/1J8XsaDbekfEP0vmyLcu7w,0.512,264040,0.439,1J8XsaDbekfEP0vmyLcu7w,1.07e-05,4,0.109,-8.816,1,0.028,139.824,3,https://api.spotify.com/v1/tracks/1J8XsaDbekfEP0vmyLcu7w,audio_features,spotify:track:1J8XsaDbekfEP0vmyLcu7w,0.364,Dusty Trails,Lucius,0,0,1,0
2,0.683,https://api.spotify.com/v1/audio-analysis/185WVQvIuyv2FF0mAFbRvI,0.544,225387,0.22,185WVQvIuyv2FF0mAFbRvI,0.672,3,0.128,-18.796,1,0.0351,90.408,4,https://api.spotify.com/v1/tracks/185WVQvIuyv2FF0mAFbRvI,audio_features,spotify:track:185WVQvIuyv2FF0mAFbRvI,0.504,Northern Sky,Nick Drake,0,0,1,0
3,0.827,https://api.spotify.com/v1/audio-analysis/4q8AGDL52LwEQMjq1k9d5F,0.574,269200,0.31,4q8AGDL52LwEQMjq1k9d5F,0.499,0,0.107,-12.369,1,0.0272,83.013,4,https://api.spotify.com/v1/tracks/4q8AGDL52LwEQMjq1k9d5F,audio_features,spotify:track:4q8AGDL52LwEQMjq1k9d5F,0.214,Gospel,The National,0,0,1,0
4,0.573,https://api.spotify.com/v1/audio-analysis/1wOR1yWj7PlnQRbL5QneuJ,0.469,261560,0.253,1wOR1yWj7PlnQRbL5QneuJ,0.0238,4,0.245,-11.118,1,0.0653,66.971,4,https://api.spotify.com/v1/tracks/1wOR1yWj7PlnQRbL5QneuJ,audio_features,spotify:track:1wOR1yWj7PlnQRbL5QneuJ,0.168,On the Attack,The Law,0,0,1,0
5,0.378,https://api.spotify.com/v1/audio-analysis/0pNA2zQRy93duN1zqbcL3T,0.572,231839,0.33,0pNA2zQRy93duN1zqbcL3T,0.00266,9,0.126,-8.756,1,0.0278,135.116,4,https://api.spotify.com/v1/tracks/0pNA2zQRy93duN1zqbcL3T,audio_features,spotify:track:0pNA2zQRy93duN1zqbcL3T,0.232,The Magician,Andy Shauf,0,0,1,0
