,Unnamed: 0,Unnamed: 0.1,0,song_title,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,rock,rap,eletronica,funk,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
214,214,34,,Psalmus 109. dixit dominus,Claudio Monteverdi,0.979,https://api.spotify.com/v1/audio-analysis/1XuE3xSCh6D7Ut6CbAdBDA,0.184,437160.0,0.157,1XuE3xSCh6D7Ut6CbAdBDA,0.000423,9.0,0.16699999999999998,-17.417,0.0,0.044,170.643,5.0,https://api.spotify.com/v1/tracks/1XuE3xSCh6D7Ut6CbAdBDA,audio_features,spotify:track:1XuE3xSCh6D7Ut6CbAdBDA,0.0805,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
215,215,35,,"Le carnaval des animaux, R. 125 (Arr. for 2 Pianos & Orchestra): XIII. Le cygne",Camille Saint-Saëns,0.99,https://api.spotify.com/v1/audio-analysis/64gNY91aF5i2tOdjHn60hL,0.2,153133.0,0.0128,64gNY91aF5i2tOdjHn60hL,0.73,7.0,0.103,-35.392,1.0,0.0446,77.847,3.0,https://api.spotify.com/v1/tracks/64gNY91aF5i2tOdjHn60hL,audio_features,spotify:track:64gNY91aF5i2tOdjHn60hL,0.0572,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
216,216,36,,The Rite of Spring: Part One: Adoration of the Earth: Introduction,Igor Stravinsky,0.947,https://api.spotify.com/v1/audio-analysis/1MiWGSGDC5mGoP3MNclZ7s,0.101,208587.0,0.0241,1MiWGSGDC5mGoP3MNclZ7s,0.847,11.0,0.0693,-30.172,0.0,0.0485,87.14,3.0,https://api.spotify.com/v1/tracks/1MiWGSGDC5mGoP3MNclZ7s,audio_features,spotify:track:1MiWGSGDC5mGoP3MNclZ7s,0.0329,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
217,217,37,,"Sonata In D Minor, Kk.9: Allegro moderato",Domenico Scarlatti,0.994,https://api.spotify.com/v1/audio-analysis/3N7GpFlh7BkEftNaEmJjnU,0.389,254000.0,0.0174,3N7GpFlh7BkEftNaEmJjnU,0.892,2.0,0.0669,-32.313,0.0,0.0393,93.243,3.0,https://api.spotify.com/v1/tracks/3N7GpFlh7BkEftNaEmJjnU,audio_features,spotify:track:3N7GpFlh7BkEftNaEmJjnU,0.327,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
218,218,38,,The Unanswered Question,Charles Ives,0.293,https://api.spotify.com/v1/audio-analysis/1NDVVbYj6YWkPbW5OpnCV4,0.16899999999999998,341893.0,0.00183,1NDVVbYj6YWkPbW5OpnCV4,0.836,0.0,0.117,-39.286,1.0,0.0475,122.417,3.0,https://api.spotify.com/v1/tracks/1NDVVbYj6YWkPbW5OpnCV4,audio_features,spotify:track:1NDVVbYj6YWkPbW5OpnCV4,0.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
219,219,39,,Les Baricades Mistérieuses (6e ordre),François Couperin,0.99,https://api.spotify.com/v1/audio-analysis/1Q9JMojxHHF6JbEJAKJLgj,0.191,100347.0,0.0946,1Q9JMojxHHF6JbEJAKJLgj,0.933,10.0,0.101,-25.59,1.0,0.0365,110.502,4.0,https://api.spotify.com/v1/tracks/1Q9JMojxHHF6JbEJAKJLgj,audio_features,spotify:track:1Q9JMojxHHF6JbEJAKJLgj,0.348,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
220,220,40,,"Symphonie fantastique, Op. 14: Symphonie fantastique, Op. 14: IV. Marche au supplice",Hector Berlioz,0.95,https://api.spotify.com/v1/audio-analysis/1SHixA41Vy0TTlJJSX9Gbo,0.35600000000000004,431787.0,0.207,1SHixA41Vy0TTlJJSX9Gbo,0.914,10.0,0.0802,-17.76,1.0,0.0388,146.755,4.0,https://api.spotify.com/v1/tracks/1SHixA41Vy0TTlJJSX9Gbo,audio_features,spotify:track:1SHixA41Vy0TTlJJSX9Gbo,0.328,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
221,221,41,,"Le Nozze di Figaro, K. 492: Sinfonia",Wolfgang Amadeus Mozart,0.8390000000000001,https://api.spotify.com/v1/audio-analysis/4rjnWmrSRqXVkFWdKMG3pV,0.386,251200.0,0.0738,4rjnWmrSRqXVkFWdKMG3pV,0.947,2.0,0.155,-19.369,1.0,0.0433,142.499,4.0,https://api.spotify.com/v1/tracks/4rjnWmrSRqXVkFWdKMG3pV,audio_features,spotify:track:4rjnWmrSRqXVkFWdKMG3pV,0.172,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
222,222,42,,Carmina Burana / Fortuna Imperatrix Mundi: 1. O Fortuna,Carl Orff,0.885,https://api.spotify.com/v1/audio-analysis/6bOrPWcAb281eA0zCXCVw1,0.442,155960.0,0.256,6bOrPWcAb281eA0zCXCVw1,0.0618,10.0,0.146,-14.718,1.0,0.0469,139.599,3.0,https://api.spotify.com/v1/tracks/6bOrPWcAb281eA0zCXCVw1,audio_features,spotify:track:6bOrPWcAb281eA0zCXCVw1,0.274,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
223,223,43,,"Symphony No. 4 in E-Flat Major, WAB 104, ""Romantic"": I. Bewegt, nicht zu schnell - Live",Anton Bruckner,0.948,https://api.spotify.com/v1/audio-analysis/36ArELybUeOgq9TCjrMsIb,0.0704,1150160.0,0.0657,36ArELybUeOgq9TCjrMsIb,0.8740000000000001,8.0,0.108,-19.466,1.0,0.0387,61.017,4.0,https://api.spotify.com/v1/tracks/36ArELybUeOgq9TCjrMsIb,audio_features,spotify:track:36ArELybUeOgq9TCjrMsIb,0.0361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
